"SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut"
0,0,0.006236
0.003445,0,0
0,0.028887,0.031626
0,0,0.00195952806414662
0.161161732685811,0.106702415540541,0.0949058367820946
0,0,0
0,0,0
0,0,0.008727
0,0.00423137044839001,0
0.028147,0.021276,0.015629
0.006428,0.008459,0.027907
0.010408,0,0.076379
0.026564,0.009205,0.003615
0,0,0
0.017319,0,0
0,0.008886,0
0.02739,0.008484,0.052702
0,0,0.0023835
0.022191,0.015292,0
0,0,0.001989
0.020213,0.060581,0.041929
0.033946,0.024717,0.056952
0,0.0118064819479429,0
0.0088461914893617,0.0107894468085106,0.0191364893617021
0.00463312125340599,0,0
