"gene.name","SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut","SRR5687509.SUM44_normal","SRR5687510.SUM44_normal","SRR5687511.SUM44_normal","SUM44_Y537S_mut.average","SUM44_normal.average","SUM44_Y537S_mut.SUM44_normal.average","baseMean","log2FC","lfcSE","stat","pval","padj"
"EBLN2",56.0252134437088,29.1136406477475,45.55373314879,16.2359793564153,10.9835244679843,35.2324329654896,43.5641957467488,20.8173122632964,32.1907540050226,32.1907540050226,1.0602711393154,0.608547696938567,1.74229751365312,0.0814563982776069,0.17025424008763
"OXSM",63.0283651241724,30.8262077446738,80.4459542840334,19.7151177899328,39.5406880847435,24.869952681522,58.1001757176266,28.0419195187328,43.0710476181797,43.0710476181797,1.04819631464546,0.536664259850208,1.95316959422271,0.0507995026796879,0.115877028512746
"RARB",40.2681221626657,37.6764761323791,31.9845360406398,11.5971281117252,3.29505734039529,0,36.6430447785615,4.9640618173735,20.8035532979675,20.8035532979675,2.9052980877592,0.894961284255613,3.2462835419475,0.00116922324388941,0.00421697690732415
"NRP1",96.2933356063745,95.0474738794109,139.568884540974,54.5065021251085,51.6225649995262,53.8848974766311,110.303231342253,53.3379882004219,81.8206097713375,81.8206097713375,1.04672748952445,0.337190935642897,3.10425749591618,0.00190757233440558,0.00656060915312166
"ALOX15",491.09601159251,470.955951654739,496.244922812351,1153.91424711666,1084.07386499005,1093.24166995857,486.098962019867,1110.40992735509,798.25444468748,798.25444468748,-1.19186547601048,0.113470158095945,-10.5037791081836,8.29896790493692e-26,3.48556652007351e-24
"SLC38A8",60.4021832439986,14.5568203238737,23.2614807568289,4.63885124469008,6.59011468079058,8.28998422717402,32.7401614415671,6.50631671755156,19.6232390795593,19.6232390795593,2.32703012212575,0.80698106236282,2.8836242021743,0.00393127585116681,0.012525659188091
"TMPRSS11E",29.7633946419703,27.4010735508212,15.507653837886,9.27770248938016,9.88517202118588,12.434976340761,24.2240406768925,10.5326169504424,17.3783288136674,17.3783288136674,1.20163050748117,0.692783510325688,1.73449640410215,0.082830043228583,0.172551546053784
"MIR4472-1",15.7570912810431,21.407088711579,19.3845672973575,49.8676508804184,37.3439831911466,26.9424487383155,18.8495824299932,38.0513609366269,28.45047168331,28.45047168331,-1.01113016101556,0.546783454904974,-1.84923327863183,0.0644241353492803,0.140662587957367
"VDAC1",26.2618188017385,10.2754025815579,0,0,0,4.14499211358701,12.1790737944321,1.38166403786234,6.78036891614724,6.78036891614724,3.11932426738919,1.86111964613348,1.67604714391665,0.093728958668276,0.190233989378169
"YBEY",20.1340610813329,16.2693874208001,40.7075913244507,57.985640558626,52.7209174463247,52.8486494482343,25.7036799421945,54.518402484395,40.1110412132948,40.1110412132948,-1.09044157512277,0.508674874605121,-2.143690654997,0.0320576814727855,0.0787530212784278
"LOC101927523",126.932124208403,93.3349067824846,99.8305215813909,19.7151177899328,34.0489258507513,30.0511928235058,106.699184190759,27.93841215473,67.3187981727447,67.3187981727447,1.93032109059023,0.391047880116899,4.93627811001862,7.96275372230358e-07,5.1360606811801e-06
"SREK1",80.5362443253314,105.322876460969,111.461261959805,44.0690868245558,28.5571636167592,48.7036573346473,99.1067942487019,40.4433025919874,69.7750484203447,69.7750484203447,1.29176215732312,0.379007568029447,3.40827536515776,0.000653748867154419,0.00249560928806089
"LOC100130451",89.2901839259109,44.5267445200844,71.7228990002226,20.8748306011054,3.29505734039529,35.2324329654896,68.513275815406,19.8007736356634,44.1570247255347,44.1570247255347,1.78737608223138,0.670794362729773,2.66456634333914,0.00770876591910538,0.0227187364872195
"KIF18A",59.5267892839406,50.5207293593265,46.5229615136579,12.7568409228977,26.3604587231623,22.7974566247285,52.1901600523083,20.6382520902629,36.4142060712856,36.4142060712856,1.33554233123562,0.502378735179941,2.65843722616416,0.00785039737404419,0.0230950683237698
"LOC100131496",257.365824257037,264.591616475117,273.32239889274,127.568409228977,124.113826488223,141.965979890355,265.093279874965,131.216071869185,198.154675872075,198.154675872075,1.01361386382051,0.206613621611616,4.90584239274337,9.30272040706139e-07,5.92487727393134e-06
