"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","baseMean","log2FC","lfcSE","stat","pval","padj"
"HXT1",2758.11131945369,2696.03960590666,2639.16123332973,8889.14126129414,9850.73530443647,7071.89197425583,2697.77071956336,8603.92284666215,5650.84678311275,5650.84678311275,-1.67334059568408,0.119218814066111,-14.0358768772533,9.40261794360726e-45,1.12490975708088e-42
"AHT1",11.4969208814243,10.9960829310246,13.2811852144559,25.201693301469,22.1800963792546,37.1433165199339,11.9247296756349,28.1750354002192,20.049882537927,20.049882537927,-1.23737499426601,0.502229997261986,-2.46376162517537,0.0137487514933891,0.0406834058049582
"ACO2",11519.9147231872,11220.0031652563,14347.4746559593,3830.65738182328,3963.7680571093,4098.47174126534,12362.4641814676,3964.29906006597,8163.38162076679,8163.38162076679,1.64090267673627,0.106017095297783,15.477717740967,4.9056979532424e-54,8.10491383274976e-52
"EFG1",575.995736159359,591.789190469686,702.954160279414,2568.55658128572,1629.31291319275,924.673090206775,623.579695636153,1707.51419489508,1165.54694526562,1165.54694526562,-1.45309828000252,0.411896875539257,-3.5278205936865,0.000418996033786797,0.00206199537478481
"ADH5",7867.34295915866,8346.02694464765,7875.74283217232,2203.63606228045,2037.79635484402,2432.88723205567,8029.70424532621,2224.77321639338,5127.2387308598,5127.2387308598,1.85187204904766,0.0873783662690962,21.19371336544,1.09141071470646e-99,5.82561457642163e-97
"RTC2",4054.96399487836,5475.04965574742,5245.11950362332,764.115340900539,535.094825149518,762.415444356537,4925.0443847497,687.208536802198,2806.12646077595,2806.12646077595,2.84207602439772,0.156086649718202,18.2083222974469,4.43324817949432e-74,1.28176287989629e-71
"YSW1",868.017526547536,873.688771065044,922.093716317935,195.565140019399,201.46920877823,225.792266213282,887.933337976838,207.608871670304,547.771104823571,547.771104823571,2.09689325226977,0.119451237852616,17.5543869612888,5.50582263457569e-69,1.46941935620464e-66
"YKL096C-B",29.8919942917032,45.9836195297391,33.2029630361396,23.1855578373515,9.24170682468944,6.84218988525098,36.359525619194,13.0898181824306,24.7246719008123,24.7246719008123,1.48156964885695,0.542317053992434,2.73192524179338,0.00629654264470644,0.0210258466850905
"SPO21",449.529606463691,532.810200203282,466.738794679449,226.815239713221,225.497646522422,195.491139578599,483.026200448807,215.934675271414,349.480437860111,349.480437860111,1.16200794904833,0.143369591952856,8.10498190878879,5.27533661723996e-16,1.78563711156235e-14
"YOL085C",59.7839885834065,94.9661707679395,56.9193652048108,28.2258964976453,30.4976325214751,31.2785823325759,70.5565081853856,30.0007037838988,50.2786059846422,50.2786059846422,1.23442813861446,0.346380790713504,3.56378925075977,0.000365539477315829,0.00183669691027845
"YOL085W-A",78.1790619936854,90.9675951566579,92.0196404144442,42.3388447464679,33.270144568882,37.1433165199339,87.0554325215958,37.5841019450946,62.3197672333452,62.3197672333452,1.21576419105802,0.282502319732599,4.30355471844903,1.68079311413434e-05,0.000122253914245054
"OPT2",1585.42538954841,1413.49647858807,1548.20673357085,569.558268613199,486.113778978664,555.194836403222,1515.70953390245,536.955627998362,1026.3325809504,1026.3325809504,1.49759107128007,0.106285310982694,14.0902920397336,4.35755856713266e-45,5.39948194595241e-43
"IMD4",3048.98341775373,2321.17314234901,3065.10781627906,6007.07561533815,6818.53129525587,5135.5522367298,2811.75479212727,5987.05304910794,4399.4039206176,4399.4039206176,-1.09052141527076,0.136205051974482,-8.00646818500584,1.18049670329688e-15,3.90069839246526e-14
"snR54",3.4490762644273,4.99821951410208,10.4352169542153,20.1613546411752,25.8767791091304,18.5716582599669,6.2941709109149,21.5365973367575,13.9153841238362,13.9153841238362,-1.75471651454397,0.64158887205068,-2.73495472098113,0.00623888573735978,0.0208835639804822
"MAK5",674.869255739608,408.85435625355,701.05684810592,1275.20568105433,1510.09489515425,1095.72783733805,594.926820033026,1293.67613784888,944.301478940952,944.301478940952,-1.12113511534875,0.195586991953508,-5.73215582565557,9.91621064280253e-09,1.47975453011627e-07
"RRP5",1947.57839731328,1123.59974677015,1651.61024702626,2855.85588492246,4075.59270968804,2718.30429584042,1574.26279703656,3216.58429681698,2395.42354692677,2395.42354692677,-1.03130672489498,0.196977279914947,-5.23566334828201,1.64393358214863e-07,1.88549671512882e-06
"SDT1",6917.69729435301,6873.55147579318,7635.73284222537,2312.50737734279,2190.2845174514,2302.8856242359,7142.32720412386,2268.55917301003,4705.44318856694,4705.44318856694,1.65486418706442,0.0777731711820526,21.2780855134566,1.81191096135562e-100,1.04773751340389e-97
"FSH1",1191.08100331556,1110.60437603348,1167.79564278537,2832.67032708511,2778.05707150164,2530.63280184497,1156.4936740448,2713.78673347724,1935.14020376102,1935.14020376102,-1.23083773554078,0.0861906407269011,-14.2804105545606,2.89888587832254e-46,3.65733983812365e-44
"YGR160W",344.90762644273,180.935546410495,421.2033025156,913.309365245236,745.805740752437,597.225431412621,315.682158456275,752.113512470098,533.897835463187,533.897835463187,-1.25228064904835,0.259553455913521,-4.82475043393599,1.40178681271143e-06,1.29866471207004e-05
"RTS3",4797.66508381837,4904.25298723696,4478.60538553187,1706.65867037548,1670.90059390385,2090.77773779312,4726.84115219573,1822.77900069082,3274.81007644327,3274.81007644327,1.37475388470661,0.10505331754202,13.0862491244669,3.94619047294285e-39,4.0869575659329e-37
"NSR1",2194.7621962639,1659.40887868189,2605.00961420684,8033.29175677625,7079.14742771211,4722.08847652107,2153.06022971755,6611.50922033647,4382.28472502701,4382.28472502701,-1.61851855287521,0.192724220563503,-8.39810662169422,4.53735120167862e-17,1.72047431630863e-15
"RDN5-6",47.1373756138397,49.9821951410208,27.5110265156586,51.4114543349967,21.2559256967857,183.761671203883,41.5435324235064,85.4763504118886,63.5099414176975,63.5099414176975,-1.04187463312908,0.611840893859026,-1.70285223427569,0.0885957248281189,0.182639849846202
"TOD6",395.494078320997,234.916317162798,451.560297291499,876.010859159062,947.274949530667,482.86311475914,360.656897591765,768.71630781629,564.686602704027,564.686602704027,-1.09188720946655,0.399961909596478,-2.72997798857435,0.00633385544198391,0.0211301071691954
"GFD2",346.057318530872,248.911331802284,487.609228587879,1177.42311104463,1001.80101979633,577.676317454761,360.859292973678,918.966816098576,639.913054536127,639.913054536127,-1.34828981857738,0.404647892512872,-3.3320075144948,0.000862219280317746,0.00388502570527587
"DHR2",147.160587282231,85.9693756425558,176.450032134914,443.549802105854,521.232264912484,371.433165199339,136.5266650199,445.405077405892,290.965871212896,290.965871212896,-1.70590006773345,0.243955036492036,-6.99268230844308,2.69679726264764e-12,6.82958985602627e-11
"SNQ2",25234.5916426382,26851.4348736592,23242.0741252978,11716.771249719,11419.9771232687,12624.8177939859,25109.3668805317,11920.5220556579,18514.9444680948,18514.9444680948,1.07477441362316,0.0824331523697929,13.0381331142324,7.42529820119594e-39,7.57708003207333e-37
"TMT1",8332.96825485635,10259.3453746459,8877.52365977699,1613.91643902607,1596.04276862387,2056.56678836687,9156.61242975976,1755.50866533893,5456.06054754935,5456.06054754935,2.38304253074346,0.122788833901067,19.4076485217174,6.65016126048596e-84,2.56363716591734e-81
"HIS4",77163.8838798556,67244.0460549237,70395.9735731365,17848.8472638324,19806.8260666744,23339.687154289,71601.3011693053,20331.7868282653,45966.5439987853,45966.5439987853,1.816232248472,0.108718280047587,16.7058589197421,1.1880487003547e-62,2.28996386993369e-60
"GSC2",4122.79582807876,3072.90535726996,3077.44034540677,7265.14414494748,8159.5029555183,7196.02884788824,3424.38051025183,7540.22531611801,5482.30291318492,5482.30291318492,-1.1392403712197,0.124723370670887,-9.13413713157147,6.59304311391987e-20,2.82402013379568e-18
"SDA1",997.932732507631,621.778507554299,1090.95449975887,1762.10239563871,2317.82007163211,1495.50721777628,903.555246606935,1858.47656168237,1381.01590414465,1381.01590414465,-1.04064840305971,0.20599147746476,-5.05190028183442,4.37436071024641e-07,4.4769452755752e-06
"SYO1",571.396967806789,381.863970877399,568.244995961361,1329.6413385855,1405.66360803526,828.882431813261,507.16864488185,1188.06245947801,847.615552179929,847.615552179929,-1.22852511466061,0.210075983397001,-5.84800363561286,4.9750768277548e-09,7.86379455758328e-08
"MEP2",26126.7527030368,26993.3843078597,41516.0363243023,3345.77680270302,2895.4267481752,4222.60861489775,31545.3911117329,3487.93738859199,17516.6642501625,17516.6642501625,3.17701286049902,0.279240820586128,11.3773224624912,5.42395114610348e-30,3.80169666695071e-28
"AAH1",1027.82472679933,718.743966127879,980.91039369624,2596.78247778336,2775.28455945424,1532.65053429622,909.159695541151,2301.57252384461,1605.36610969288,1605.36610969288,-1.34033000596451,0.205323153185999,-6.52790484252073,6.66960451609743e-11,1.43282927978948e-09
"TRP5",17632.8275558405,17171.8829626491,17613.6975626287,6954.65928347338,7461.75409025425,8752.13831893389,17472.8026937061,7722.85056422051,12597.8266289633,12597.8266289633,1.1778898531176,0.0954356732207756,12.342238634318,5.36433264666253e-35,4.59544496730757e-33
"TRM11",758.796778174005,555.802009968151,853.790478072162,1660.28755470078,1612.67784090831,1085.95328035912,722.79642207144,1452.9728919894,1087.88465703042,1087.88465703042,-1.00731905829132,0.18943823247174,-5.31740106074726,1.05259886420436e-07,1.27247099629164e-06
"YOL118C",363.302699853009,443.841892852265,351.95140818308,169.355378985872,148.7914798775,120.227050840839,386.365333629451,146.12463656807,266.244985098761,266.244985098761,1.40349347396659,0.182269122291131,7.70011648887436,1.35942245619064e-14,4.23005938273849e-13
"MCH4",3251.3292252668,3653.69846480862,3509.07886487659,1205.64900754228,1162.60671854593,1184.67630584631,3471.36885165067,1184.31067731151,2327.83976448109,2327.83976448109,1.55188043702382,0.0820832868441628,18.9061683162141,1.01467078854226e-79,3.52040030084737e-77
"MRS4",3092.67171710314,3412.7842842289,2945.57714934896,1379.03665745638,1358.53090322935,1701.75037003171,3150.34438356033,1479.77264357248,2315.05851356641,2315.05851356641,1.09020347466756,0.113281529749444,9.62384138949109,6.34175572002857e-22,2.99356754702573e-20
