"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","baseMean","log2FC","lfcSE","stat","pval","padj"
"CTF18",1441.71387853061,1383.50716150346,1590.89625747446,1515.12580128432,1692.15651960064,1640.17066106445,1472.03909916951,1615.8176606498,1543.92837990965,1543.92837990965,-0.134293008060336,0.0952335385836797,-1.41014405279434,0.1584971517483,0.286857521121923
"SRM1",3001.84604213989,2948.94951332023,3090.72153062123,3931.46415502916,4136.58797473099,3829.67142434476,3013.83902869378,3965.9078513683,3489.87344003104,3489.87344003104,-0.396052849957813,0.0715262451529605,-5.53716819764333,3.07401310007986e-08,4.10203401951041e-07
"YEL1",1022.07626635862,931.668117428628,1018.85663716611,903.228687924648,1024.90528685806,839.634444490084,990.867006984455,922.58947309093,956.728240037692,956.728240037692,0.102435257064844,0.110463705462279,0.927320486273423,0.353760160820362,0.5177687736622
"MIP1",2154.52297317892,2182.22263985697,2152.5006608286,2177.42630124692,2121.89588694869,2277.47177609068,2163.08209128816,2192.2646547621,2177.67337302513,2177.67337302513,-0.0192293886093876,0.0736481112592122,-0.261098190851191,0.794016786797397,0.878737238211665
"EXG2",2364.91662530898,2257.1959325685,2198.98480907919,2064.52271525634,2180.11863994424,2410.40575100413,2273.69912231889,2218.34903540157,2246.02407886023,2246.02407886023,0.0352287339097018,0.0894233146013962,0.393954686948629,0.693614494014891,0.811372414255893
"SCD5",2687.98010207701,2674.04744004461,2627.77736028877,2360.89462848161,2289.17078047557,2459.27853589878,2663.26830080346,2369.78131495199,2516.52480787773,2516.52480787773,0.168436013512836,0.0721679915445764,2.33394348253127,0.0195986814971269,0.0533314709445347
"YAP6",247.183798950623,242.913468385361,262.777736028877,221.774901052927,216.255939697733,211.130430744887,250.958334454954,216.387090498516,233.672712476735,233.672712476735,0.214529044438765,0.146745028263019,1.46191695199549,0.143763968997331,0.266233835300903
"RKM4",1862.50118279074,1690.39783966932,1813.83043785997,1351.8188286908,1377.93848756119,1571.74876221194,1788.90982010668,1433.83535948798,1611.37258979733,1611.37258979733,0.318999014587942,0.0963122269198273,3.3121341369615,0.000925871411895516,0.00414546148143657
"RMD5",923.202746778373,960.65779061042,915.453123710707,854.841436785828,844.692003776614,858.206102750051,933.104553699833,852.579847770831,892.842200735332,892.842200735332,0.130313609135339,0.0888492215211345,1.46668262146047,0.142462412542885,0.263971115765596
"RPA43",933.549975571655,630.775302679682,1103.28702888658,1502.02092076755,1939.83426250231,1305.88081238504,889.204102379307,1582.5786652183,1235.8913837988,1235.8913837988,-0.831745739163707,0.198654919597703,-4.18688719538424,2.82806290616669e-05,0.000191827258122098
