"SRR3396385.control","SRR3396386.control","SRR3396387.control"
367.792542,294.877197,245.108459
45.474686,43.253273,40.980217
2.402024,1.307708,1.890206
13.999306,16.918934,15.639315
30.351151,33.198666,33.273788
53.376549,60.859985,50.03149
74.349434,76.547379,75.958412
48.917461,50.85479,58.644203
41.90564,40.011005,42.589794
115.865929,108.806786,122.887955
1.332731,2.10119,2.964235
13.529607,14.305223,12.213019
1.778059,2.819821,1.073213
69.21566,77.50264,70.184624
120.658089,131.996841,107.102592
62.489975,67.659721,57.373512
4239.11087678428,4017.0549900602,4147.07462543478
18.682032,18.095148,18.863197
26.307007,25.912697,23.950262
54.558687029703,52.4423512871287,50.288448779703
513.204468,508.857697,550.939026
68.836304,86.435516,68.044304
66.438332,56.846928,54.261806
0.950209,1.339357,1.989026
83.336006,65.217621,63.37862
29.620432,33.407021,31.772676
54.056561,59.730476,43.198395
19.382299,22.330984,21.882853
176.13887,124.359962,99.965187
89.383652,89.551079,93.789589
39.553421,39.971252,39.666691
22.358248,24.144388,22.485695
20.073786,19.04339,17.924099
136.598145,148.935303,194.217285
22.069559,27.02191,23.750748
152.380981,165.412994,147.045975
29.331686,33.267807,34.312378
335.828247,309.815308,326.490906
86.624763,77.866295,81.294418
46.261822,50.134193,50.888363
185.534927,194.062363,193.124466
144.291824,127.017677,148.817474
82.336151,53.172001,32.839554
24.41209,24.428017,19.50839
26.150656,24.906034,23.489828
34.493866,39.424999,32.16647
5.735406,5.505741,5.015935
31.582806,32.269173,32.00938
73.374184,71.387634,78.437431
8.272966,4.224023,5.759111
38.622536,34.123901,40.06929
36.3018129749329,32.3959322658908,21.5256504440466
54.678989,59.77367,57.488384
40.656342,42.894306,43.107075
220.421631,212.693283,200.025818
61.030148,58.441959,59.00486
155.190659,152.100784,131.565491
26.74478,24.052263,26.624828
27.692314,26.618361,24.098595
6.940867,12.665443,8.851144
105.901176,99.170143,97.167938
0.166347,0.131921,0
29.200813,32.30624,31.883152
32.63689,33.961414,32.506378
151.425354,111.155914,113.155121
1.01958,0.888088,0.865552
30.115828,31.394653,33.360023
22.955009,24.16507,18.879314
25.026096,22.270672,17.451363
25.657022,25.76363,31.821012
84.447174,68.657959,74.053535
41.900448,45.461071,44.499985
15.963825,7.548411,20.101879
60.648712,65.092209,62.993061
21.355709,21.259031,21.248697
39.888969,43.001438,41.165905
54.006062,57.333553,47.341042
308.926208,285.535217,300.004303
0.319767,0.644117,0
17.9811551656003,18.4365543296951,18.3252695876929
38.6165879650788,40.4448660199279,36.97086372974
65.901093,74.804932,61.356121
123.238121,125.195831,114.436325
13.432377,16.050472,13.434308
190.039612,196.938187,193.017883
3.192648,2.827708,5.161912
0,0,0.569567
6.041234,5.942697,6.37833
13.787298,14.221628,13.378148
38.659168,39.872269,38.874233
4.053655,5.897896,4.208611
27.523727,31.730305,31.005091
29.70282,36.633232,29.61203
11.17339,13.667205,10.740189
2188.294678,2279.782227,2087.65918
1610.239136,1708.129639,1450.937134
1172.179688,1203.994629,1072.239868
0.297861479695431,0.0518849543147208,1.14896674492386
13.822745,17.262056,15.515967
34.974739,38.367973,35.020184
49.441994,55.412666,54.042767
67.76889,53.13842,58.76313
72.627739,65.308426,68.268105
66.807243,69.185432,56.733833
588.762329,599.875488,577.876587
67.847374,72.10582,62.592289
38.591801,36.146622,36.801292
2.903447,3.112449,0.759022
110.247269,82.224731,84.59008
88.43158,77.051338,74.82988
72.027603,77.190033,77.669289
15.356977,17.129763,15.377569
22.725227,21.527342,22.151525
39.621891,28.834568,26.15892
19.196064,20.365278,18.707085
15.611172,15.797942,12.253903
30.396978,32.434349,31.056387
150.990692,142.206482,136.294159
15.4952372859841,16.9132679542879,17.0861530980355
62.595787,59.422768,63.754444
8.47523,7.654928,8.166569
22.075094,24.951231,23.204967
125.6147,103.420456,102.516121
17.418495,14.382667,16.98583
3.176254,3.67527,2.251623
53.662769,54.046284,58.451645
21.652843,26.071264,25.804384
42.815048,42.071526,42.073498
16.206299,17.907551,16.772053
31.981655,31.551779,32.859348
28.379425,27.997742,27.850403
38.294018,38.949177,43.495598
123.344795,121.366051,140.093918
8.0968,7.860557,7.503492
89.672256,91.366135,83.660736
51.432114,54.204826,58.649395
0.035548,0.051754,0
14.4357116272111,14.6799757960105,14.7702914533308
0.934214,1.304627,0.543703
37.6377555697674,42.353417130814,39.4347481889535
5.846962,6.851912,6.979596
110.350571,98.972977,107.325462
74.7079721536012,77.9163947197452,74.8858248757962
51.29446,58.996723,58.091496
60.43877,54.080677,45.598969
42.266949,44.694263,41.19968
27.543655,24.966667,28.120718
16.082405,15.676027,17.885517
2.176309,0.60823,1.880842
8.813091,9.958769,12.088958
30.179779,31.141481,34.48489
3.532704,5.946595,4.294017
221.019028,173.816833,182.842133
12.153848,15.338323,14.791653
53.400799,52.800568,52.806599
1670.206055,1539.900391,1684.032593
36.192657,35.00576,42.640003
0,0.235848,0.491929
0,0.123223,0
37.970001,40.403843,39.145004
96.939964,90.555054,84.363068
163.532883,130.486938,77.956535
22.38599,18.270132,17.675688
13.238503,13.265392,13.398767
