"SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B"
1973.24231,1764.655396,1917.487427
32.555485,33.709946,33.659721
62.469193,63.333874,56.591579
22.531017,28.850962,26.922655
11.003119,11.646865,10.240067
113.159149,208.528748,169.101639
147.925934,175.628799,158.480118
729.37323,853.223206,753.59259
641.606567,603.40918,615.406555
58.683945,61.534111,61.050976
13.3165920732029,12.64986148965,12.2815974079789
3.139261,4.1882,4.628644
125.334755,131.31778,113.586929
898.741211,856.927429,915.512512
52.008049,47.105965,50.930435
102.905197,98.345268,92.75032
7.940903,6.061601,6.110883
20.26335,21.286457,22.304409
110.53405,100.93354,119.04628
105.239532,111.480934,106.86808
184.010056,210.535828,212.475662
183.235107,182.917831,185.677414
5.930995,4.434918,9.15642
33.349018,30.803841,33.420181
6694.568359,7359.080078,7007.283203
80.909477,100.929779,84.749565
13.854708,13.561254,10.622491
47.866482,48.213146,45.291653
10.616817,15.581564,19.562935
129.857117,137.248184,139.356964
304.206085,371.4664,321.241028
150.58316,179.017181,168.350128
554.599976,485.23114,525.263184
125.595211419968,130.553572973008,127.219372421419
22.237431,21.558649,20.352211
26.865393,21.584593,27.445612
32.888603,37.856728,34.464085
41.480503,49.933998,46.110405
0,0.184024,0.384158
0,1.490822,2.349398
121.262779,137.417038,126.850029
27.147501,30.186768,26.806177
36.280586,39.035385,37.786774
118.491623,124.540688,127.304855
226.681885,233.51619,226.878555
3012.370605,2540.725342,2848.852783
14.171299,13.430129,17.931686
16.989094,14.371867,16.470726
52.889565,55.917435,50.152714
80.540077,91.941429,89.553986
23.036564,23.81315,21.430149
297.227875,309.438812,310.037903
328.85022,358.006042,357.996063
133.975479,131.013062,128.933044
129.509018,143.984924,117.906456
394.345856,382.594086,319.745575
44.424763,41.596478,45.626255
25.363708,26.486444,26.52714
22.474068,18.999701,21.222654
20.557257,15.47629,25.473284
9.09849,9.607461,11.269303
125.895096,126.002441,115.928017
826.078796,813.586304,822.490845
47.932522,41.222038,55.62595
39.88649,41.058434,42.746181
2558.60894258012,2475.75381908937,2372.17903602542
50.85466,55.412502,46.586582
108.741409,115.021255,114.808571
116.586571,188.1091,159.72319
18.98546,19.834278,17.428301
0.409074,1.787606,0.64811
1.318069,6.877184,4.70707
37.515934,31.913879,31.778313
57.3894,64.724335,66.531204
66.984718,56.428783,69.875137
268.66217,275.786346,281.413635
27.3627632366163,24.2480480124642,22.4485687080098
0.344188,0.978012,0.634778
36.609921,34.138786,27.495333
24.452553,24.87755,25.176538
15.589914,15.208515,15.051101
102.691437,101.954521,109.467743
25.6764791863731,25.832808939647,25.3506446494591
27.456585,29.749859,28.683582
10.492694,9.664321,10.321149
25.628664,20.884375,30.026417
4.814492,4.166915,7.199275
7.043663,4.05835,4.093984
79.173401,82.031792,82.617607
4.704937,4.031105,4.980214
0,0.997239,0
24.625761,25.44915,27.374617
29.289671,28.807426,26.297174
24.823019,20.955223,21.66073
23.699076,25.358294,24.212288
56.368519,50.788162,53.8181
29.203833,27.442684,28.764532
1.3975,1.353235,2.654663
46.651657,42.142139,45.031986
13.425621,14.664673,12.150749
186.761292,228.519501,260.983734
75.457664,73.783974,72.548347
41.008251,42.729107,41.354946
15.3411319036445,17.053931769346,16.9080729750374
61.879192,57.544479,58.412182
211.015533,220.068726,192.752457
53.683552,45.442661,56.055889
49.993671,43.656685,54.115536
54.760773,58.382313,47.78952
34.575207,31.588324,28.446329
22.952711,24.043524,21.310942
18.361258,17.431374,16.330582
31.554928,25.440748,28.965637
130.019241,115.964554,106.88842
14.622422,14.158595,14.428869
215.871902,237.181305,210.491776
37.769375,39.621025,36.721321
17.223417,17.781469,19.042818
14.31929,13.300554,14.077861
5739.10024615962,5395.51305398654,5280.374522175
33.622467,30.874672,33.017929
44.276447,42.066193,39.86599
3.030373,2.698161,4.87702
29.840534,31.802898,30.772003
27.630045,30.410692,29.565002
249.58844,323.799896,284.590515
38.604919,34.031208,33.631653
1.120811,2.658855,1.285436
16.607399,14.896267,12.902032
36.044384,34.514912,38.649662
52.175625,45.413895,44.4016
84.519127,82.802071,80.630447
57.814297,51.502136,54.492268
39.679466,41.607529,43.555637
124.11174,129.0746,121.91909
0.556152,1.06578,2.224397
14.978206,13.831867,11.774782
1.182279,3.305022,1.762807
93.090981,86.654045,81.659683
96.319664,86.322678,109.358253
71.962196,61.763729,61.593472
3979.91485060535,4271.21836828595,3957.56046867391
17.108807,15.971521,17.865654
23.409771,23.722294,24.180725
51.760084039604,45.7196198910891,59.6378635841584
1284.218384,1259.739136,1201.579468
48.953117,41.469257,58.873379
67.036346,69.980583,62.52956
