"t_id","g_id"
574,"MSTRG.144"
575,"MSTRG.144"
576,"MSTRG.148"
577,"MSTRG.148"
578,"MSTRG.148"
579,"MSTRG.148"
580,"MSTRG.148"
581,"MSTRG.148"
582,"MSTRG.148"
583,"MSTRG.149"
584,"MSTRG.150"
585,"MSTRG.151"
586,"MSTRG.151"
587,"MSTRG.151"
588,"MSTRG.152"
589,"MSTRG.122"
590,"MSTRG.123"
591,"MSTRG.124"
592,"MSTRG.124"
593,"MSTRG.124"
594,"MSTRG.125"
595,"MSTRG.126"
596,"MSTRG.127"
597,"LOC284661"
598,"AJAP1"
599,"AJAP1"
600,"MSTRG.121"
601,"MIR4417"
602,"MIR4689"
603,"MSTRG.170"
604,"MSTRG.170"
605,"MSTRG.170"
606,"MSTRG.170"
607,"MSTRG.170"
608,"MSTRG.170"
609,"MSTRG.170"
610,"MSTRG.171"
611,"MSTRG.171"
612,"MSTRG.171"
613,"MSTRG.171"
614,"MSTRG.171"
615,"MSTRG.171"
616,"MSTRG.171"
617,"MSTRG.171"
618,"MSTRG.171"
619,"MSTRG.172"
620,"RPL22"
621,"LOC102724450"
622,"RNF207"
623,"ICMT"
624,"LINC00337"
625,"MSTRG.153"
626,"MSTRG.154"
627,"MSTRG.155"
628,"MSTRG.173"
629,"MSTRG.173"
630,"MSTRG.173"
631,"MSTRG.173"
632,"MSTRG.174"
633,"MSTRG.175"
634,"MSTRG.173"
635,"MSTRG.173"
636,"MSTRG.173"
637,"MSTRG.173"
638,"MSTRG.177"
639,"MSTRG.176"
640,"MSTRG.176"
641,"MSTRG.176"
642,"MSTRG.176"
643,"MSTRG.176"
644,"MSTRG.173"
645,"MSTRG.173"
646,"MSTRG.173"
647,"MSTRG.173"
648,"MSTRG.173"
649,"MSTRG.173"
650,"MSTRG.173"
651,"MSTRG.173"
652,"MSTRG.178"
653,"MSTRG.179"
654,"MSTRG.187"
655,"MSTRG.187"
656,"MSTRG.187"
657,"MSTRG.187"
658,"MSTRG.187"
659,"MSTRG.187"
660,"MSTRG.187"
661,"MSTRG.187"
662,"MSTRG.187"
663,"MSTRG.187"
664,"MSTRG.187"
665,"MSTRG.187"
666,"MSTRG.187"
667,"MSTRG.187"
668,"MSTRG.187"
669,"MSTRG.187"
670,"MSTRG.187"
671,"MSTRG.188"
672,"MSTRG.188"
673,"MSTRG.188"
674,"MSTRG.188"
675,"MSTRG.188"
676,"MSTRG.188"
677,"MSTRG.188"
678,"MSTRG.188"
679,"MSTRG.188"
680,"MSTRG.188"
681,"MSTRG.187"
682,"MSTRG.187"
683,"MSTRG.187"
684,"MSTRG.187"
685,"MSTRG.187"
686,"MSTRG.187"
687,"MSTRG.189"
688,"MSTRG.189"
689,"MSTRG.190"
690,"MSTRG.190"
691,"MSTRG.190"
692,"MSTRG.190"
693,"MSTRG.191"
694,"MSTRG.191"
695,"MSTRG.192"
696,"MSTRG.180"
697,"MSTRG.180"
698,"MSTRG.180"
699,"MSTRG.181"
700,"MSTRG.182"
701,"MSTRG.182"
702,"MSTRG.182"
703,"MSTRG.181"
704,"MSTRG.181"
705,"MSTRG.183"
706,"MSTRG.184"
707,"MSTRG.185"
708,"MSTRG.186"
709,"MSTRG.186"
710,"MSTRG.195"
711,"MSTRG.195"
712,"MSTRG.195"
713,"MSTRG.195"
714,"MSTRG.196"
715,"MSTRG.196"
716,"MSTRG.197"
717,"MSTRG.198"
718,"MSTRG.199"
719,"MSTRG.199"
720,"MSTRG.199"
721,"MSTRG.199"
722,"MSTRG.199"
723,"MSTRG.200"
724,"MSTRG.199"
725,"MSTRG.199"
726,"MSTRG.199"
727,"MSTRG.199"
728,"MSTRG.201"
729,"MSTRG.201"
730,"MSTRG.202"
731,"MSTRG.203"
732,"MSTRG.204"
733,"MSTRG.205"
734,"MSTRG.205"
735,"MSTRG.206"
736,"MSTRG.193"
737,"MSTRG.194"
738,"MSTRG.194"
739,"MSTRG.207"
740,"LOC102724539"
741,"MSTRG.208"
742,"SLC45A1"
743,"MSTRG.216"
744,"MSTRG.216"
745,"MSTRG.216"
746,"MSTRG.216"
747,"MSTRG.216"
748,"MSTRG.216"
749,"MSTRG.216"
750,"MSTRG.216"
751,"MSTRG.216"
752,"MSTRG.216"
753,"MSTRG.216"
754,"MSTRG.216"
755,"MSTRG.216"
756,"MSTRG.216"
757,"MSTRG.216"
758,"MSTRG.217"
759,"MSTRG.218"
760,"MSTRG.218"
761,"MSTRG.219"
762,"MSTRG.220"
763,"MSTRG.221"
764,"MSTRG.210"
765,"MSTRG.209"
766,"MSTRG.211"
767,"MSTRG.212"
768,"MSTRG.212"
769,"MSTRG.212"
770,"MSTRG.212"
771,"MSTRG.213"
772,"MSTRG.214"
773,"MSTRG.215"
774,"SLC2A5"
775,"SLC2A5"
776,"MSTRG.222"
777,"MSTRG.223"
778,"MSTRG.224"
779,"MSTRG.225"
780,"MSTRG.226"
781,"MSTRG.225"
782,"MSTRG.227"
783,"MSTRG.228"
784,"MSTRG.229"
785,"MSTRG.230"
786,"MSTRG.229"
787,"MSTRG.231"
788,"MSTRG.230"
789,"MSTRG.230"
790,"MSTRG.230"
791,"MSTRG.230"
792,"MSTRG.230"
793,"MSTRG.230"
794,"MSTRG.230"
795,"MSTRG.232"
796,"MSTRG.232"
797,"MSTRG.233"
798,"MSTRG.233"
799,"SLC25A33"
800,"MSTRG.234"
801,"MSTRG.234"
802,"MSTRG.235"
803,"MSTRG.234"
804,"MSTRG.234"
805,"MSTRG.237"
806,"MSTRG.238"
807,"MSTRG.239"
808,"MSTRG.240"
809,"MSTRG.240"
810,"MSTRG.240"
811,"MSTRG.241"
812,"MSTRG.242"
813,"MSTRG.242"
814,"MSTRG.242"
815,"MSTRG.242"
816,"MSTRG.243"
817,"MSTRG.244"
818,"MSTRG.243"
819,"MSTRG.243"
820,"MSTRG.243"
821,"MSTRG.243"
822,"MSTRG.243"
823,"MSTRG.245"
824,"MSTRG.246"
825,"MSTRG.246"
826,"MSTRG.246"
827,"MSTRG.247"
828,"MSTRG.248"
829,"MSTRG.248"
830,"MSTRG.248"
831,"MSTRG.248"
832,"MSTRG.248"
833,"MSTRG.249"
834,"MSTRG.250"
835,"MSTRG.250"
836,"MSTRG.250"
837,"MSTRG.251"
838,"MSTRG.251"
839,"MSTRG.250"
840,"MSTRG.252"
841,"MSTRG.251"
842,"MSTRG.253"
843,"MSTRG.253"
844,"MSTRG.254"
845,"MSTRG.253"
846,"MSTRG.253"
847,"MSTRG.255"
848,"MSTRG.256"
849,"MSTRG.256"
850,"MSTRG.256"
851,"MSTRG.253"
852,"MSTRG.253"
853,"MSTRG.253"
854,"MSTRG.253"
855,"MSTRG.253"
856,"MSTRG.253"
857,"MSTRG.253"
858,"MSTRG.253"
859,"MSTRG.257"
860,"MSTRG.257"
861,"MSTRG.258"
862,"MSTRG.258"
863,"MSTRG.259"
864,"MSTRG.260"
865,"MSTRG.261"
866,"MSTRG.261"
867,"MSTRG.260"
868,"MSTRG.260"
869,"MSTRG.260"
870,"MSTRG.262"
871,"MSTRG.262"
872,"MSTRG.263"
873,"MSTRG.263"
874,"MSTRG.264"
875,"MSTRG.264"
876,"C1orf127"
877,"TARDBP"
878,"MASP2"
879,"MASP2"
880,"SRM"
881,"MSTRG.270"
882,"MSTRG.270"
883,"MSTRG.271"
884,"MSTRG.271"
885,"MSTRG.270"
886,"MSTRG.270"
887,"MSTRG.270"
888,"MSTRG.271"
889,"MSTRG.271"
890,"MSTRG.270"
891,"MSTRG.270"
892,"MSTRG.270"
893,"MSTRG.270"
894,"MSTRG.272"
895,"MSTRG.270"
896,"MSTRG.273"
897,"MSTRG.274"
898,"MSTRG.275"
899,"MSTRG.236"
900,"PTCHD2"
901,"LOC101929181"
902,"FBXO2"
903,"FBXO44"
904,"FBXO44"
905,"FBXO44"
906,"FBXO44"
907,"FBXO44"
908,"FBXO44"
909,"FBXO44"
910,"FBXO6"
911,"MAD2L2"
912,"MAD2L2"
913,"MSTRG.276"
914,"MSTRG.277"
915,"MSTRG.278"
916,"MSTRG.278"
917,"MSTRG.278"
918,"MSTRG.278"
919,"MSTRG.279"
920,"MSTRG.280"
921,"MSTRG.279"
922,"MSTRG.279"
923,"MSTRG.281"
924,"MSTRG.281"
925,"MSTRG.281"
926,"MSTRG.281"
