"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","log2FC","logCPM","pval"
"snR62",2.42382720159885,2.64260787687067,1.74663942556854,2.51467842730926,1.74795881263568,1.67411672019186,2.27102483467935,1.97891798671227,2.12497141069581,-0.196968906325101,1.13904477512586,0.531661041810467
"SAL1",54.5866084360074,58.7099383311434,53.189329173861,52.9405984696687,54.9184268807165,51.3395794192169,55.4952919803372,53.0662015898674,54.2807467851023,-0.0644886528391151,5.76466223988211,0.576807482461963
"PMS1",41.5585372274136,38.2737707500102,41.6698262957066,46.8524296456568,50.1623529021496,47.6908634905937,40.5007114243768,48.2352153461334,44.3679633852551,0.252327576669433,5.47456284277335,0.0404424917771555
"SWS2",70.694960046633,68.9280221217099,79.3057472514097,83.690262747468,77.2353893955302,76.3654780825978,72.9762431399175,79.097043408532,76.0366432742248,0.115740077526896,6.25041036434177,0.2644385731106
"EOS1",117.808101277711,117.772224379203,124.385679092274,106.366485758643,100.731207853749,95.2958748416903,119.988668249729,100.797856151361,110.393262200545,-0.251585943211564,6.78756780464698,0.010682599040754
"TPM1",388.216323456082,414.052610841019,409.794878560771,371.378298264726,400.079317068846,447.289646779465,404.021270952624,406.249087371013,405.135179161818,0.00790408041665808,8.66258636939037,0.943857647976704
"NIS1",108.920734871848,96.2349701827069,87.9141844202832,92.3813443295719,100.975109083419,87.6550344264557,97.6899631582794,93.6704959464824,95.6802295523809,-0.0598972973492339,6.58130006252691,0.573312872443671
"APJ1",43.2249184285128,41.0925524853389,40.0063601761175,42.9701190912145,45.4062789235828,46.7035638863779,41.4412770299897,45.0266539670584,43.2339654985241,0.120147363589532,5.4370388046765,0.333307548092819
"MKS1",83.5210456550936,86.4132775736709,82.7158527965673,69.0433638375263,69.6744512757572,68.7675637371117,84.2167253417772,69.1617929501317,76.6892591459545,-0.284098745661861,6.26243096120411,0.00289227890201121
"IMP4",43.2754148285461,34.4419893285477,50.7357166474671,72.3080340764892,86.6662369427739,61.5130579496136,42.8177069348536,73.4957763229589,58.1567416289063,0.779298449359377,5.86487101154077,1.58602231325941e-06
