"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","log2FC","logCPM","pval"
"YOL079W",0.959431600632877,1.71769511996593,3.07741232123981,3.97054488522516,4.95932500329194,4.12090269585688,1.91817968061287,4.35025752812466,3.13421860436877,1.16806114494407,1.704493252328,0.00128584875098708
"REX4",11.260697207428,7.66356284292494,10.5630098593907,20.1174274184741,25.2437772708549,16.6982411321701,9.82908996991454,20.6864819404997,15.2577859552071,1.07446448647369,3.94262313054867,2.15195468803992e-06
"YOR302W",47.2646304311775,43.603029968366,42.4183860495217,10.1469480400198,9.4714977521887,8.67106608919885,44.4286821496884,9.42983729380246,26.9292597217454,-2.23538045200201,4.75227607132335,4.4281962671743e-44
"YMR084W",9.59431600632877,12.5083439505212,9.85603675856533,4.45583370453045,4.39022213406172,6.99694936900699,10.6528989051384,5.28100173586639,7.9669503205024,-1.01244658139594,3.00630625110498,7.90161609573147e-05
"tS(AGA)D3",0,0,0,0.176468661565562,0.243901229670095,0,0,0.140123297078553,0.0700616485392763,4.74576467679857,-2.6410894393028,0.00380551799132756
"ARO3",1056.9401490972,1001.85668958629,1065.53322290279,279.967531573765,267.722249767875,351.478659100793,1041.44335386209,299.722813480811,670.583083671451,-1.79688684625359,9.3893412876049,7.64907838758002e-45
"ARG1",930.143688613558,814.627921509998,1083.04120381146,88.8078539328693,96.5035865394677,123.197820178221,942.604271311673,102.836420216853,522.720345764263,-3.19624135911676,9.02994755115405,3.19714482297536e-93
"YHL041W",0.454467600299784,0.132130393843533,0.415866529897271,0.132351496174172,0.0813004098900318,0,0.334154841346863,0.0712173020214012,0.202686071684132,-2.14265949370667,-1.81165488343705,0.00436146366500613
"GRX4",130.230215685905,143.097216532547,128.835450962175,48.7053505920952,46.6664352768782,40.9943966098262,134.054294393542,45.4553941595999,89.754844276571,-1.56025800409353,6.48859847400528,1.62926224974733e-53
"ASN1",3399.06417544215,3308.06058373132,3543.51552794867,1120.6642352721,1105.40102306982,1327.57455911214,3416.88009570738,1184.54660581802,2300.7133507627,-1.52834552530557,11.1678914884628,3.2853525099558e-36
