"gene.name","SRR975555.primary_colorectal_cancer","SRR975556.primary_colorectal_cancer","SRR975558.primary_colorectal_cancer","SRR975559.primary_colorectal_cancer","SRR975560.primary_colorectal_cancer","SRR975562.primary_colorectal_cancer","SRR975564.primary_colorectal_cancer","SRR975565.primary_colorectal_cancer","SRR975567.primary_colorectal_cancer","SRR975568.primary_colorectal_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","primary_colorectal_cancer.average","normal_colon.average","primary_colorectal_cancer.normal_colon.average","fc","log2FC","pval","qval"
"EVPLL",1.85169776775738,8.79581311678638,3.27821145251397,1.69433811146582,17.821386971801,2.2947117047087,0.68124702660282,2.18439091114658,5.00539450119713,4.86829392870444,8.79495106304868,12.2353346014898,15.614275442937,12.206363480713,10.7215102085661,11.4627364038308,14.9378322434158,13.6477905919127,15.5608809733972,6.32412351928704,4.84754854926842,12.1505798528598,8.49906420106411,2.61140883338002,1.384828338814,0.00121726763102314,0.017242708247093
"ALDOC",1.72551170450295,1.90024973068623,2.67847412473025,1.76965364170623,5.17688385390591,1.84357415458207,2.24808607114084,1.46843551359517,5.45854523090203,1.02311018529708,17.0803635467559,10.3469703175802,8.61812725981873,11.4616585004316,7.08432007653575,11.0283844619479,10.1594075538052,12.3741286819163,20.5087959138253,3.91019119414473,2.52925242110488,11.2572347506762,6.89324358589052,3.70692099226475,1.89022136649709,1.48042148606642e-06,0.000721902078954016
"SSH2",0.760741218812138,0.871184110918994,2.43075249719028,0.893517127345033,0.683129971211204,0.435984808074695,1.10866420705455,0.773940788363448,1.67242820039768,1.85555792236535,4.39333846935247,3.88370814282009,3.54371827215354,3.46169554283738,2.36245081075473,2.9926017032074,1.37722663343996,3.52638931806,3.335306967926,0.60621310227371,1.14859008517334,2.94826489628253,2.04842749072793,2.06805922529369,1.04827750229406,4.82141320701235e-06,0.00133594005677354
"PLXDC1",0.464433360093697,0.034519761818569,0.0543305216141397,9.6943359431431,0.720281039501704,6.70310713362436,0.033841253939523,6.0978402141184,1.03176052640545,3.39106159124787,0.00247093632879046,0,0.022907988713799,0.0305658806431005,0.0383640799616695,0.0375079905238501,2.67059026991056,0.059382710072402,0.0408855924190801,0.0308462638415673,2.82255113455068,0.293352171241482,1.55795165289608,0.443737423470424,-1.17222186406769,0.0288737216652095,0.127804979127886
"IKZF3",0.320164839210036,0.018882536870656,10.6735870097474,1.29222302517376,2.02027127496186,1.58827788447194,3.34687755661977,0.0749669722834379,2.48583857111375,1.92312697889473,0.00313378064078657,0.00778984726224784,0.0133323024241397,0.00735402068147144,0.00320654619427022,0.013426298016613,0.138171708509917,0.00413080818782845,0,0.0420583903203933,2.37442166493473,0.0232603702237667,1.19884101757925,0.433477718073136,-1.2059702579606,0.00254984574485428,0.0266505251550825
"GSDMA",2.90482921649485,4.44271371758825,23.5368850415495,32.6123599962512,20.003487916901,21.0669427610122,14.7065374826617,7.16066398812871,10.3786309646985,13.197081046548,2.86675393314589,3.02695192564824,2.89288531208997,2.7627578425492,3.29867088472352,3.90067886035614,6.51114134707904,3.86962690534208,3.39336837238363,7.09885722149328,15.0010132131834,3.9621692604811,9.48159123683224,0.361006055334729,-1.46990505852805,0.000875914936161348,0.0143526367789812
"CD300E",12.0303223147048,98.5503900690353,42.2581262927045,9.42839858047794,38.6509644205336,4.48825388380326,16.8996690158048,25.7321499279302,35.5699338241244,37.0127129197117,59.5699988687571,48.8868106460994,40.5604423487167,57.1266223289923,53.4120743431534,23.871508353142,25.2403351636111,48.8784722557846,65.5790390633456,83.6564206866861,32.062092124883,50.6781724058288,41.3701322653559,2.0927559133985,1.06540405403765,0.0294859368972265,0.129676350133626
"COLEC12",0.765356,2.050607,4.145477,2.92999,3.168784,1.361035,2.107133,1.12855,4.182904,0.858618,5.499616,4.570948,5.221873,5.769373,4.284122,6.890584,2.458775,6.32057,5.31246,3.021392,2.2698454,4.9349713,3.60240835,2.08875561960987,1.06264370973344,7.54247866560087e-05,0.00397831006199507
"LAMA1",0.189748336717428,1.20069706200856,0.966460278988753,0.0950689511296905,0.987600049965164,0.159616998009356,0.337106084403304,0.109677995819648,0.667729863939485,0.118773022295212,2.4400299001692,3.31792370916692,1.11960468607545,4.76394423698617,1.74590954145516,1.48113207494775,1.5878927452971,0.813165391659202,3.51303894217179,1.85767696566139,0.48324786432766,2.26403181935901,1.37363984184334,2.18056720376951,1.12470345409801,0.000103357831829687,0.00466280052505016
"CCBE1",0.00286794350953607,1.13517614135815,0.639480313601267,0.00683215257704745,1.12837734666403,0.173189789744605,0.00253218557381377,0.370061417937042,0.546655180756286,0.00577393004685541,3.91502889408038,0.287886315977034,2.29120443872501,2.19317771253217,1.20195639635716,2.09821625077542,1.44116533293737,2.69657015825249,2.72273170580083,2.0884977204514,0.401094640176863,2.09364349258893,1.24736906638289,2.19180116997838,1.1321169296412,0.000152782264126627,0.00560065275329845
"FSTL3",3.58864637363796,2.70082624288225,35.2544310724077,28.5776794246046,16.9724551156415,19.3185938685413,11.7005397518453,4.89431294692443,13.6443629047452,5.35089636942004,2.07452568892794,2.00312797223199,1.89433766959578,2.41988877609842,3.05572333743409,3.44038347521968,4.21629755782074,3.62601900281195,3.61638952056239,9.46913851669596,14.200274407065,3.58158315173989,8.89092877940246,0.377184761812674,-1.40665670228198,0.00465527296389134,0.0385316450594368
