"gene.name","SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut","SRR5687509.SUM44_normal","SRR5687510.SUM44_normal","SRR5687511.SUM44_normal","SUM44_Y537S_mut.average","SUM44_normal.average","SUM44_Y537S_mut.SUM44_normal.average","fc","log2FC","pval","qval"
"PPCDC",8.21389943851072,5.09515678582174,4.89047380819857,0,0,0,6.06651001084368,0,3.03325500542184,0.161846755715799,-2.62729964846069,0.00578811251933531,0.109432962769262
"ALPK3",0.737388510113102,0.0927534925286882,0.67738876521093,1.28401069206637,1.1774829151325,1.09220695756625,0.502510255950907,1.18456685492171,0.843538555436308,2.07825258291341,1.05537100456541,0.0138598921630513,0.122087011474889
"NTHL1",5.10991232231962,5.18221443897505,4.78562723533378,11.1366629222297,12.2121066806024,13.156811475163,5.02591799887615,12.1685270259984,8.59722251243725,2.17541070781011,1.12128780104608,0.00347894981698427,0.0943617215791799
"CRYM",1.52476090384615,1.34844848927515,1.43972574297337,0.110253492973373,0.107973314718935,0.122802214127219,1.43764504536489,0.113676340606509,0.7756606929857,0.477906831173146,-1.06519870535449,6.77684895313835e-05,0.0445092150110924
"GPT2",1.6098791986054,1.78388117469804,1.77980166940605,5.25935889453368,4.80115219088532,4.96041328265471,1.72452068090317,5.0069747893579,3.36574773513054,2.14583260371832,1.10153753592436,0.000779684611953435,0.0672277806456958
".",1.23307158847807,1.41697543284609,1.23185262252794,3.87080791143594,3.71993647033534,3.98080017712812,1.2939665479507,3.85718151963313,2.57557403379192,2.00472640658708,1.0034053594768,0.000454567577743759,0.0567553060040525
".",1.36695570323264,0.910056496555379,1.9649063736089,3.61086512665607,3.89680627980922,3.77680935559089,1.41397285779898,3.76149358735206,2.58773322257552,2.67043925398204,1.41707706678926,0.00356187020975129,0.0947163973042634
".",9.330094,12.495996,10.536116,34.971523,30.766073,32.772961,10.787402,32.8368523333333,21.8121271666667,2.44230335045334,1.28824240385297,0.00337629817039697,0.0941681671613774
".",32.0429507569866,35.9022585323343,34.9210704806264,17.6369962866208,17.4655728058593,15.957215182665,34.2887599233158,17.019928091715,25.6543440075154,0.475173245478148,-1.07347448707911,0.00146663932679925,0.0765345588273976
".",3.506075,3.368476,3.517413,8.350378,7.694973,7.991645,3.463988,8.012332,5.73816,2.06395627698172,1.04541240891535,0.00040044694272412,0.0552032998491233
".",0.332621,0.436457,0.46932,5.79787,6.527345,5.192212,0.412799333333333,5.83914233333333,3.12597083333333,4.60985986691179,2.20472289547365,0.000910666321107367,0.0690004152360774
