"gene.name","SRR975555.primary_colorectal_cancer","SRR975556.primary_colorectal_cancer","SRR975558.primary_colorectal_cancer","SRR975559.primary_colorectal_cancer","SRR975560.primary_colorectal_cancer","SRR975562.primary_colorectal_cancer","SRR975564.primary_colorectal_cancer","SRR975565.primary_colorectal_cancer","SRR975567.primary_colorectal_cancer","SRR975568.primary_colorectal_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","primary_colorectal_cancer.average","normal_colon.average","primary_colorectal_cancer.normal_colon.average","baseMean","log2FC","lfcSE","stat","pval","padj"
"RASGRF1",296.511212525477,161.33053853712,864.35546632563,1024.35647816232,716.765679164065,1189.13040353203,585.708662927743,796.171034624767,579.231360645574,209.111373721526,83.9519642715108,139.509659260095,228.308325863287,176.363934210146,215.736650499443,425.775487624638,658.587760542473,319.856882182588,170.973013305187,398.401193323769,642.267221016626,281.746487108314,462.00685406247,462.00685406247,1.1892285510784,0.377048702182105,3.15404493954215,0.00161024287713294,0.0102568447806317
"IRAK2",623.667438635989,107.55369235808,1322.73764122773,1645.73498331173,360.029315108443,293.671881034227,894.175583952694,611.551664276995,696.887730776706,576.410626009596,391.77583326705,293.551574693117,262.55457474278,348.296613791897,240.159667537116,342.565557302057,191.304063776623,344.226930348881,397.098611547531,152.887852900158,713.242055669219,296.442127990721,504.84209182997,504.84209182997,1.26671917540022,0.343050789183784,3.69251205751225,0.000222049809592436,0.0021744910450607
"PPT1",383.476791618145,380.82786988014,240.142197431645,2404.33860157345,646.516056703881,992.947958414906,458.9155113408,690.22469141383,1231.77169037285,412.805354341459,319.695863943026,338.117160290091,370.482146969061,196.747705500766,205.560393400412,273.404056774197,487.145867321892,464.046333833152,328.157880376085,882.732055795802,784.196672309111,386.608946420449,585.40280936478,585.40280936478,1.02055341918313,0.37064868279131,2.75342518823342,0.00589752472897612,0.0282024316664248
"FAM186A",0,0,57.8844384688657,42.5204575840964,0,79.4358366731925,25.5478738272198,34.6161319402073,19.0060290211829,22.7530510266946,0,0,2.07553023512079,0,0,0,6.27226438611879,0,0,4.46387891679293,28.1763818541459,1.28116735380325,14.7287746039746,14.7287746039746,4.48220975424412,1.17523223159768,3.81389280665895,0.000136794820472144,0.00148865317119618
"C5orf34",206.232658991184,61.4592527760456,146.275540455107,155.586219796353,92.2026294789916,115.543035161007,150.44859031585,314.692108547339,72.4039200806968,92.0956827270971,119.56794911397,71.6924637864377,36.3217791146139,75.3313286827257,34.5992741367031,60.5163129618775,80.4940596218578,47.7246776589893,39.5260192049626,95.973396711048,140.693963832967,66.1747260993186,103.434344966143,103.434344966143,1.08806475020631,0.304116614770089,3.57778791871953,0.000346514428134557,0.0030772670938605
"ZNF655",1181.90363204988,53.7768461790399,333.226632266713,875.534876617985,5.48825175470188,1705.46334190778,275.34930680448,2014.02949470297,103.175586114993,1104.06471410485,78.0159667977676,93.9752565849251,19.7175372336475,36.3362879528442,116.009330928946,104.822899237538,1075.69334221937,77.1718191932594,76.2944091630673,64.7262442934975,765.201268250339,174.276309360486,469.738788805413,469.738788805413,2.13462054361786,0.718919113572094,2.96920822289947,0.00298568206088544,0.0163908131099651
"SOCS5",17.3931158185336,9.8773799104359,41.4577734979714,35.7558393320811,50.4919161432573,57.7715175805036,40.6873546137205,17.8325528176825,47.9675970534616,31.4208799892449,22.0479906167604,20.3451586420972,21.7930674687683,29.2462805474112,16.2820113584485,6.48389067448688,24.0436801467887,14.2158614303373,11.949726736384,6.6958183751894,35.0655926756892,17.3103485996672,26.1879706376782,26.1879706376782,1.01156078375007,0.337412265929714,2.99799647461774,0.00271760816981528,0.0152622815190677
"KCNIP4",85.3090918718551,99.8712857610741,75.0933255812312,54.1169460161227,109.765035094038,108.321595463444,78.536056579972,87.064816698097,251.603622280421,48.7565379143455,343.439853837999,213.139757202923,172.269009515026,211.813971237311,182.155002072643,140.484297947216,192.349441174309,202.068316045508,279.439763681596,225.425885298043,99.8438313260601,216.258529801257,158.051180563659,158.051180563659,-1.1151178102384,0.255083891726951,-4.37157282919318,1.23354688947934e-05,0.000226835152371225
"TTC25",0,4.3899466268604,0,6.76461825201534,7.68355245658263,0,0,0,4.52524500504355,0,24.5919895340789,12.5946220165364,0,14.180014810866,15.2643856485455,16.2097266862172,17.7714157606699,8.12334938876415,9.19209748952619,8.92775783358586,2.33633623405019,12.685535916879,7.5109360754646,7.5109360754646,-2.45246084738657,0.807673127195124,-3.03645220425179,0.00239380056921088,0.0138937881085773
"CD84",112.641131015265,86.7014458804929,193.208868943376,28.9912210800657,61.468419652661,33.7000519219604,126.793151586943,79.7220008319925,125.801811140211,239.448775090453,263.727887762019,363.306404323164,364.255556263699,247.264008264476,178.084499233031,297.178322580649,147.398213073791,252.839249725284,194.872466777955,56.9144561891099,108.847687714342,236.584106419318,172.71589706683,172.71589706683,-1.11898772641224,0.357453210873912,-3.13044530688787,0.00174541497609927,0.0109490521131589
"SLC25A23",4438.55750816769,6779.17507852917,4808.31950362321,3102.06065556703,7951.37914221208,4052.43124361574,5814.5068395654,4381.56312467411,4079.05584754625,3113.9175547962,8720.82828856785,8330.8580553997,12128.3609289284,11457.4519671797,9329.592508391,11882.810309443,13748.8035343724,10922.858671867,11650.0643582255,7553.99909694284,4852.09664982969,10572.5627719317,7712.32971088071,7712.32971088071,-1.1236694708703,0.176618892289555,-6.36211368050092,1.9899606722485e-10,3.24066615871915e-08
"SDHD",8.2824361040636,8.7798932537208,0,2.89912210800657,3.29295105282113,0,0,8.39178956126237,5.43029400605226,2.16695724063758,11.0239953083802,6.78171954736573,15.5664767634059,8.86250925679126,9.15863138912729,0,7.31764178380525,9.13876806235966,4.59604874476309,12.2756670211806,3.92434433265643,8.4721457877179,6.19824506018716,6.19824506018716,-1.10988174178297,0.628964819196011,-1.7646165698134,0.0776282287559649,0.196847115944888
"C14orf93",0,3.2924599701453,4.69333284882695,0,0,0,0,10.489736951578,0.905049001008709,10.8347862031879,6.78399711284936,9.68817078195104,9.33988605804356,7.97625833111213,6.10575425941819,6.48389067448688,7.31764178380525,8.12334938876415,8.27288774057357,2.23193945839647,3.02153649747468,7.23237755894006,5.12695702820737,5.12695702820737,-1.27041456004679,0.713238967894847,-1.78119062086088,0.0748813153581408,0.191543654987951
"ADAMTS16",8.2824361040636,3.2924599701453,87.6088798447697,261.887363756594,86.7143777242897,1386.51642193209,23.6554387289072,19.9305002079981,36.2019600403484,5.41739310159395,50.031978707264,6.78171954736573,15.5664767634059,3.5450037027165,70.2161739833092,22.6936173607041,20.9075479537293,29.44714153427,2.75762924685786,2.23193945839647,191.95072314108,22.4179228258019,107.184322983441,39.12225383391,1.31654867300294,0.695547983559337,1.89282221230194,0.0583815166156331,0.159103409832869
"PGM5P3-AS1",0,0,1.56444428294232,0,2.19530070188075,0,0,0,0,0,5.93599747374319,0,1.0377651175604,3.5450037027165,1.01762570990303,8.64518756598251,0,12.1850240831462,3.67683899581047,18.97148539637,0.375974498482307,5.50149280452323,2.93873365150277,2.93873365150277,-3.76877088052939,1.15909789424647,-3.2514690081285,0.00114810291874827,0.00780925070734173
"CLDN6",3.31297444162544,4.3899466268604,11.7333321220674,1.93274807200438,2.19530070188075,12.0357328292716,17.0319158848132,3.14692108547339,0.905049001008709,5.41739310159395,0.84799963910617,1.93763415639021,8.30212094048317,2.65875277703738,2.03525141980606,1.08064844574781,1.04537739768646,2.03083734719104,1.83841949790524,5.57984864599116,6.21013138665992,2.73568902673447,4.4729102066972,4.4729102066972,1.19796398001249,0.610045875540674,1.96372769334889,0.0495616792639491,0.141067409455044
"RPL27",226.938749251343,91.0913925073533,281.599970929617,332.432668384754,273.314937384154,300.89332073179,317.929096516513,424.834346538907,273.32479830463,226.447031646627,78.0159667977676,37.7838660496091,96.5121559331168,129.392635149152,89.5510624714668,122.113274369503,228.937650093336,79.2026565404504,51.4757459413466,216.498127464457,274.880631219569,112.948314081021,193.914472650295,193.914472650295,1.28457701297311,0.303347274220697,4.23467465225527,2.28882838877636e-05,0.000361758245579121
