"gene.name","SRR975555.primary_colorectal_cancer","SRR975556.primary_colorectal_cancer","SRR975558.primary_colorectal_cancer","SRR975559.primary_colorectal_cancer","SRR975560.primary_colorectal_cancer","SRR975562.primary_colorectal_cancer","SRR975564.primary_colorectal_cancer","SRR975565.primary_colorectal_cancer","SRR975567.primary_colorectal_cancer","SRR975568.primary_colorectal_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","primary_colorectal_cancer.average","normal_colon.average","primary_colorectal_cancer.normal_colon.average","log2FC","logCPM","pval"
"ALPI",0,0,0,0,0,0,0,0,0,0,0,0,0,1.06887459118057,0,0,0,0,0,0,0,0.106887459118057,0.0534437295590283,5.60221097540391,-3.45111398546328,0.0149754828464784
"ISPD",0,0,0,0,0,0,0,0,0,0,0.046725991107166,0,0,0.0319067042143453,0.0186064018538224,0.0389053838244164,0,0,0,0,0,0.013614448099975,0.0068072240499875,2.83564106593194,-4.53878496305136,0.0473083028555658
"FOLH1",1.26835127970577,8.77453041431734,1.49850667030689,3.71370851019549,16.4287910852325,1.83076521813007,3.91716908650052,3.09654481274274,3.45239375247271,0.739039974393593,1.80673832281042,0.332456827056725,0.541812580555629,0.60622738007256,0.930320092691121,0.85591844413716,1.73039355048434,0.34828308422526,0.790156785005158,0.52839938573482,4.47198008039976,0.84707064527732,2.65952536283854,-2.39635508100884,1.42979839950403,4.50859591966515e-06
"SPAG17",0.0309353970659943,0.0397037575308477,0.0734562093287691,0.0901385560727061,8.03319564094088,0,0.0531742409932198,0.0191144741527329,0.034182116361116,0.139818373533923,0.124602642952443,0.0874886386991382,0.0934159621647637,0.0638134084286905,0.241883224099692,0.0972634595610409,0.096132975026908,0.0916534432171737,0.0658463987504298,0.142261373082451,0.851371876598019,0.110436152598273,0.480904014598146,-2.92118619514715,-0.960003489539772,0.00316343916989824
"MAGEA8",0.0464030955989915,0,0,0,0,0,0,0,0.051273174541674,0.059922160085967,0.155753303690553,0.157479549658449,0.0934159621647637,0,0.0372128037076449,0.0972634595610409,0,0.0549920659303042,0.0493847990628224,0.101615266487465,0.0157598430226632,0.0747117210263043,0.0452357820244838,2.07537951199174,-3.61687732182261,0.0211490270517039
"PTPRQ",0.0154676985329972,0,0.176294902389046,0.162249400930871,0.0402666448167463,0,0.265871204966099,0.496976327971056,0.102546349083348,0.259662693705857,0.0155753303690553,0.0349954554796553,0,0,0.0186064018538224,0.0194526919122082,0,0.0549920659303042,0,0.0406461065949861,0.151933522239602,0.0184268052140032,0.0851801637268026,-2.91482558482367,-3.04535641183327,0.000822326813829278
"SNAP29",0.123741588263977,0,0,0,0.0402666448167463,0.0220574122666273,0.0354494939954799,0,0,0,0,0.174977277398276,0.0747327697318109,0.0957201126430358,0.0930320092691121,0.0778107676488327,0.0384531900107632,0.073322754573739,0.0164615996876075,0.121938319784958,0.0221515139342831,0.0766448800748136,0.0493981970045483,1.65683850833194,-3.5479637700262,0.0389890980666548
"SPG20",0.0618707941319886,0.138963151357967,0.1909861442548,0.216332534574495,0.221466546492104,0.110287061333137,0.0886237349886996,0,0.205092698166696,0.119844320171934,0.280355946642996,0.349954554796553,0.168148731896575,0.319067042143453,0.353521635222626,0.350148454419747,0.230719140064579,0.34828308422526,0.428001591877794,0.447107172544847,0.135346698547182,0.327530735383443,0.231438716965312,1.25875354088261,-1.90173682024821,0.00500994424828061
"MAMDC2-AS1",0.402160161857926,0.0198518787654238,0.0734562093287691,0.162249400930871,0.0201333224083731,0.0220574122666273,0,0.0955723707636647,0.119637407263906,0.099870266809945,0,0.0699909109593105,0.0186831924329527,0.0319067042143453,0,0,0.0576797850161448,0.0183306886434347,0,0.0406461065949861,0.101498843039551,0.0237237387861174,0.062611290912834,-2.02123592195388,-3.32962842371235,0.0134695653823131
"ALPL",0.0154676985329972,0,0,0,0.120799934450239,0,0,0,0.034182116361116,0,0.124602642952443,0.0524931832194829,0.0373663848659055,0.0797667605358632,0.148851214830579,0.116716151473249,0.0576797850161448,0.0183306886434347,0.0658463987504298,0,0.0170449749344352,0.0701653210287532,0.0436051479815942,1.93508124741742,-3.64694150238527,0.022883337678445
