"gene.name","SRR975587.metastasized_cancer","SRR975588.metastasized_cancer","SRR975589.metastasized_cancer","SRR975591.metastasized_cancer","SRR975593.metastasized_cancer","SRR975598.metastasized_cancer","SRR975599.metastasized_cancer","SRR975601.metastasized_cancer","SRR975603.metastasized_cancer","SRR975604.metastasized_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","metastasized_cancer.average","normal_colon.average","metastasized_cancer.normal_colon.average","log2FC","logCPM","pval"
"SEPT10",0,0,0.0421377976655522,0.0318196921437642,0.0129637681743394,0.0559037683509197,0,0,0.0272632768304691,0,0,0,0,0,0,0,0,0,0,0,0.0170088303165045,0,0.00850441515825223,-3.22084612072252,-4.55756622169607,0.0162306792968005
"TTC30A",0,0.0424148151150176,0,0,0,0,0,0,0,0,0.0455431649588016,0.0516875175312171,0.0543040726102505,0.0469299680795385,0,0.0565771998329885,0,0.0535033252938556,0.0485776749997049,0,0.00424148151150176,0.0357122923306357,0.0199768869210687,2.48567016036308,-4.21602998871571,0.0169967014019255
"DLGAP2",0.253063294068203,0.141382717050059,0.0842755953311045,0.30228707536576,0.272239131661127,0.130442126152146,0.340478632856986,0.189941405685224,0.381685875626568,0.367607836069454,0.136629494876405,0.103375035062434,0.126709502757251,0.093859936159077,0.200799821579351,0.0754362664439846,0.112156236426131,0.107006650587711,0.0485776749997049,0.13672568124778,0.246340368986663,0.114127630013983,0.180233999500323,-1.09161186130894,-2.22894809050068,0.0143064230591773
"NUB1",0,0,0,0,0,0,0,0,0,0,0,0.0516875175312171,0,0,0.073018116937946,0.0188590666109962,0.0560781182130657,0,0,0,0,0.0199642819293225,0.00998214096466125,3.3822709497534,-4.5275507581057,0.0223509210860927
"HOXB7",0.0632658235170508,0.268627162395111,0.0842755953311045,0,0.0777826090460362,0.0559037683509197,0.567464388094977,0,0.0545265536609383,0.0459509795086817,0.470612704574283,0.447958485270548,0.416331223345254,0.719592843886257,0,0.433758532052912,0.0934635303551096,0.445861044115463,0.29146604999823,0.58596720534763,0.121779687990482,0.390501161894569,0.256140424942525,1.73451134040411,-1.79841488633093,0.0175397733410282
"KRTAP1-4",0.205613926430415,0,0.0421377976655522,0.0477295382156463,0,0.0372691789006131,0,0.132958983979657,0.122684745737111,0.0459509795086817,0,0,0,0,0,0,0,0,0,0,0.0634345150437676,0,0.0317172575218838,-4.97965006657544,-3.91883596251292,3.22808975702697e-05
"KRTAP3-1",3.732683587506,6.19256300679257,2.5563597250435,5.74345443194944,3.46132610254861,1.78892058722943,3.40478632856986,4.44462889303425,4.79833672216257,4.08963717627267,6.34568098425969,7.82204431972419,3.87369051286453,7.4775082473398,8.9264647956639,11.2211446335427,5.21526499381511,7.57963774996288,7.14091822495663,19.5517724184326,4.02126965611089,8.5154126880562,6.26834117208355,1.08120075735297,2.65578178520381,0.00164318309474538
"LINC01096",0.0316329117585254,0.438286422855182,0.0421377976655522,0.222737845006349,0.155565218092072,0,0,0.0569824217055673,0.0408949152457037,0.137852938526045,0.546517979505619,0.223979242635274,0.343925793198253,0.31286645386359,0.456363230862162,0.188590666109962,0.205619766781241,0.24968218470466,0.518161866663519,0.292983602673815,0.1126090470855,0.33386907869981,0.223239062892655,1.51552218917636,-1.95360109819526,0.00964513722283431
"MRPS14",0.347962029343779,0.0424148151150176,0.0702296627759204,0.334106767509524,0.194456522615091,0.0559037683509197,0.226985755237991,0.189941405685224,0.286264406719926,0.107218952186924,0,0.103375035062434,0,0,0.0547635877034595,0,0,0.0535033252938556,0.0647702333329399,0.214854641960798,0.185548408554032,0.0491266823353487,0.11733754544469,-1.8848298435253,-2.73215305930382,0.0117348218751859
"DDX50",0.0158164558792627,0,0,0,0.0129637681743394,0,0,0.0949707028426121,0,0.0459509795086817,0,0,0,0,0,0,0,0,0,0,0.0169701906404896,0,0.00848509532024479,-3.18209548791373,-4.56969522476381,0.0344128925062704
