"gene.name","SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut","SRR5687509.SUM44_normal","SRR5687510.SUM44_normal","SRR5687511.SUM44_normal","SUM44_Y537S_mut.average","SUM44_normal.average","SUM44_Y537S_mut.SUM44_normal.average","log2FC","logCPM","pval"
"LOC100130451",0.644737898302744,0.322563914890126,0.516691606614044,0.151431620742952,0.0233783195196406,0.255652230740409,0.494664473268971,0.143487390334334,0.319075931801653,-1.77746059261323,-1.57440682157169,0.0165811051524659
"KIF18A",0.429825265535163,0.365985980356104,0.335151312398299,0.0925415460095817,0.187026556157125,0.165422031655559,0.376987519429855,0.148330044607422,0.262658782018639,-1.33762857568893,-1.84136778874777,0.0230626726922722
"LOC100131496",1.85836217746085,1.91677403271248,1.96901396034,0.925415460095817,0.88058336857313,1.03012810621871,1.91471672350444,0.945375644962551,1.4300461842335,-1.01730379503373,0.532158261343169,0.0184361275947406
"PRTN3",0.120098235958354,0.0434220654659784,0.125681742149362,0.269211770209692,0.257161514716047,0.518823644737889,0.0964006811912316,0.348398976554543,0.222399828872887,1.84927348964952,-2.09222938924021,0.00651641383454711
"CTSB",0.0948143968092271,0.037218913256553,0,0,0,0,0.04401110335526,0,0.02200555167763,-5.66110133228013,-4.71906884649137,0.0254766478837779
"LOC100506127",0.335010868725936,0.204704022911041,0.26532812231532,0.858112517543394,0.490944709912453,0.87974444107729,0.268347671317432,0.742933889511046,0.505640780414239,1.46610917223136,-0.95043516225096,0.0060677972949927
"FOCAD-AS1",0.107456316383791,0.0930472831413824,0.23041652727383,0.067302942552423,0.0233783195196406,0,0.143640042266334,0.0302270873573546,0.0869335648118445,-2.23332478085194,-3.28825671264551,0.0306321193468529
"HCN3",148.397172926015,175.276268829527,166.437538200797,78.8285714645255,77.5692641661676,78.3273319889071,163.370326652113,78.2417225398667,120.80602459599,-1.06212797249644,6.91674202385095,3.30591382254717e-08
"BEX4",1.27683387703093,1.2158178330474,1.71066815703298,0.353340448400221,0.381845885487463,0.563938744280314,1.40110662237043,0.433041692722666,0.91707415754655,-1.69031054598519,-0.098728243494239,0.000563994805035361
"DYRK4",0.0379257587236908,0.111656739769659,0.13266406115766,0,0.0311710926928542,0,0.0940821865503365,0.0103903642309514,0.052236275390644,-3.06307658155135,-3.87597905950489,0.0139840059329816
"EVL",0.0126419195745636,0.00620315220942549,0,0.0588900747333702,0.0389638658660677,0.0601534660565669,0.00628169059466304,0.0526691355520016,0.0294754130733323,2.87512766124222,-4.55801190259704,0.0310358095904403
"EML1",0.214912632767581,0.204704022911041,0.328168993390001,0.0168257356381058,0.0779277317321354,0.127826115370205,0.249261883022874,0.0741931942468153,0.161727538634845,-1.72509094309108,-2.4902004546591,0.0213414672026276
"ZNF513",0.195949753405736,0.0682346743036804,0,0,0,0,0.0880614759031388,0,0.0440307379515694,-6.64583870301204,-4.03443379326616,0.00398103837428375
"CALML3",6.92145096707358,7.68570558747818,7.10800075044725,3.65118463346895,3.20282977419077,3.3535557326536,7.238385768333,3.40252338010444,5.32045457421872,-1.08895092494077,2.41594225627204,0.00283109579190086
"SPHKAP",0.101135356596509,0.037218913256553,0.0139646380165958,0,0,0,0.0507729692898859,0,0.0253864846449429,-5.86335754684428,-4.59432217125869,0.00563351581502854
"USP32",0.0126419195745636,0.0558283698848294,0.0698231900829789,0,0,0,0.046097826514124,0,0.023048913257062,-5.71941109214136,-4.70215593831064,0.00694231239512489
"ETV1",4.43731377067183,4.53450426509003,4.2941261901032,13.7971032232467,15.982977778261,15.3466530276816,4.42198140862169,15.0422446763964,9.73211304250906,1.76604167932441,3.28443153559679,1.62576260126316e-08
"DOCK8",1.24522907809452,1.47014707363384,1.28474669752681,0.664616557705178,0.444188070873172,0.563938744280314,1.33337428308506,0.557581124286221,0.945477703685639,-1.25721725303727,-0.0561465898527363,0.00713983557774504
"EIF5AL1",0.120098235958354,0.136469348607361,0.404974502481277,0.067302942552423,0.0623421853857083,0.0451150995424252,0.220514029015664,0.0582534091601855,0.139383719087925,-1.90348896840827,-2.69108749893863,0.0157020349185154
"PPID",0.0695305576600999,0,0.062840871074681,0.252386034571586,0.0857205049053489,0.240613864226267,0.0441238095782603,0.192906801234401,0.118515305406331,2.112081700851,-2.94068060337473,0.0252586766415624
"LOC100506188",0.164344954469327,0.130266196397935,0.139646380165958,0.0420643390952644,0,0.0601534660565669,0.144752510344407,0.0340726017172771,0.0894125560308419,-2.05716286758002,-3.24351439323651,0.022215538917847
