"SRR975587.metastasized_cancer","SRR975588.metastasized_cancer","SRR975589.metastasized_cancer","SRR975591.metastasized_cancer","SRR975593.metastasized_cancer","SRR975598.metastasized_cancer","SRR975599.metastasized_cancer","SRR975601.metastasized_cancer","SRR975603.metastasized_cancer","SRR975604.metastasized_cancer"
0,0.0343296083810672,0.0203155990352728,0,0.00911443744347302,0,0,0.0122921094362376,0.0173582315345191,0.00584247512812783
0,0,0,0,0.012413,0,0,0,0,0
0.00676991748768473,0,0,0,0,0.0309821009852217,0,0,0,0
0.0685493312292359,0,0.0116122750830565,0.0214555561461794,0.0325459129568106,0.0213653179401993,0,0.0114561873754153,0.0188158853820598,0
0,0,0,0.011741,0,0,0,0,0,0
0.040488,0,0,0,0,0.012074,0,0.008263,0.021251,0
0,0.009888,0,0,0,0,0,0,0,0
0,0,0,0.0294267448818898,0,0,0,0,0,0
0,0,0,0,0.0823,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.711087,0.04082,0.006477,0,0.013764,0.159342,0,0.063085,0.025161,0
0,0.020730874884152,0,0,0,0,0,0,0,0.00701973864689527
0,0,0.00989075219549446,0,0,0,0,0,0,0
0,0,0,0,0,0,0.014203,0,0,0
0,0,0,0,0,0,0,0,0,0.004076
