"SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon"
0,0.146191972758229,0.0364241861520999,0.0335018728717367,0.0461870329171396,0,0,0,0.0486818887627696,0.04836961861521
0.027449,0,0,0,0,0,0,0,0,0
0,0,0,0.013929,0,0,0,0.013545,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.0207266431990988,0.0514278034356519,0.0501365882849901,0.00864970149253731,0.0159899476203886,0.021721214869051,0.0302633950999718,0.0169499588848212,0.0158517059983103,0
0,0,0,0,0,0,0,0,0,0.025948
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.011381,0,0,0
0,0.012037767550702,0.0123582184087364,0.01085272074883,0.0118105226209048,0.0362642074882995,0,0.081193015600624,0,0.0125961154446178
0,0,0,0,0.005952,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.020331,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.060719,0.108194,0.0498,0.147882,0.176497,0,0.201682,0.138825,0.091533,0.133369
0.00776123454699407,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.0122434683153014,0,0,0,0,0,0,0
0.00366872988563911,0.00409144823398441,0.000853192996660257,0.00389947980973586,0.002044754579496,0.00200597307964781,0.00189835441756907,0.00142715919441352,0.00124100799514219,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.014139,0,0,0
0.03018,0.031479,0,0,0,0,0,0.038185,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.015282395412343,0,0,0.016802756963408
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0212685327868852,0,0,0
0,0,0,0.012694,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0510174926624738,0
0,0,0,0.008253,0,0,0,0,0,0
