"t_id","g_id"
384,"MSTRG.183"
385,"MSTRG.183"
386,"MSTRG.184"
387,"MSTRG.184"
388,"MSTRG.184"
389,"MSTRG.184"
390,"MSTRG.184"
391,"MSTRG.184"
392,"MSTRG.184"
393,"MSTRG.184"
394,"MSTRG.184"
395,"MSTRG.184"
396,"MSTRG.184"
397,"MSTRG.184"
398,"MSTRG.184"
399,"MSTRG.184"
400,"MSTRG.184"
401,"MSTRG.184"
402,"MSTRG.184"
403,"MSTRG.183"
404,"MSTRG.183"
405,"MSTRG.183"
406,"MSTRG.183"
407,"MSTRG.183"
408,"MSTRG.183"
409,"MSTRG.183"
410,"MSTRG.183"
411,"MSTRG.183"
412,"MSTRG.183"
413,"MSTRG.183"
414,"MSTRG.183"
415,"MSTRG.183"
416,"MSTRG.183"
417,"MSTRG.183"
418,"MSTRG.183"
419,"MSTRG.183"
420,"MSTRG.183"
421,"MSTRG.183"
422,"MSTRG.183"
423,"MSTRG.183"
424,"MSTRG.183"
425,"MSTRG.183"
426,"MSTRG.183"
427,"MSTRG.183"
428,"MSTRG.183"
429,"MSTRG.183"
430,"MSTRG.183"
431,"MSTRG.183"
432,"MSTRG.183"
433,"MSTRG.183"
434,"MSTRG.183"
435,"MSTRG.183"
436,"MSTRG.184"
437,"MSTRG.184"
438,"MSTRG.187"
439,"MSTRG.187"
440,"MSTRG.187"
441,"MSTRG.188"
442,"MSTRG.189"
443,"MSTRG.189"
444,"MSTRG.190"
445,"MSTRG.190"
446,"MSTRG.191"
447,"MSTRG.191"
448,"MSTRG.192"
449,"MSTRG.192"
450,"MSTRG.192"
451,"MSTRG.192"
452,"MSTRG.193"
453,"MSTRG.193"
454,"MSTRG.193"
455,"MSTRG.194"
456,"MSTRG.195"
457,"CALML6"
458,"TMEM52"
459,"MSTRG.99"
460,"MSTRG.100"
461,"MSTRG.101"
462,"MSTRG.101"
463,"MSTRG.102"
464,"MSTRG.101"
465,"MSTRG.103"
466,"MSTRG.103"
467,"MSTRG.103"
468,"MSTRG.104"
469,"MSTRG.103"
470,"MSTRG.105"
471,"MSTRG.105"
472,"MSTRG.106"
473,"MSTRG.106"
474,"MSTRG.107"
475,"MSTRG.107"
476,"MSTRG.107"
477,"MSTRG.107"
478,"MSTRG.107"
479,"MSTRG.107"
480,"MSTRG.107"
481,"MSTRG.107"
482,"MSTRG.107"
483,"MSTRG.107"
484,"MSTRG.108"
485,"MSTRG.109"
486,"MSTRG.109"
487,"MSTRG.109"
488,"MSTRG.110"
489,"MSTRG.110"
490,"MSTRG.110"
491,"MSTRG.109"
492,"MSTRG.109"
493,"MSTRG.109"
494,"MSTRG.109"
495,"MSTRG.111"
496,"MSTRG.112"
497,"MSTRG.109"
498,"MSTRG.109"
499,"MSTRG.113"
500,"MSTRG.114"
501,"MSTRG.114"
502,"MSTRG.97"
503,"MSTRG.97"
504,"MSTRG.98"
505,"MSTRG.120"
506,"MSTRG.121"
507,"MSTRG.121"
508,"MSTRG.121"
509,"MSTRG.121"
510,"MSTRG.121"
511,"MSTRG.120"
512,"MSTRG.120"
513,"MSTRG.120"
514,"MSTRG.120"
515,"MSTRG.120"
516,"MSTRG.120"
517,"MSTRG.120"
518,"MSTRG.121"
519,"MSTRG.121"
520,"MSTRG.121"
521,"MSTRG.121"
522,"MSTRG.121"
523,"MSTRG.120"
524,"MSTRG.121"
525,"MSTRG.121"
526,"MSTRG.121"
527,"MSTRG.121"
