"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","fc","log2FC","pval","qval"
"tK(CUU)F",1.667226,1.049191,1.590815,0,0,0.528392,1.435744,0.176130666666667,0.805937333333333,0.468821262694161,-1.09289009234608,0.0196692603639259,0.0760480350240823
"SDT1",341.096008,341.999146,379.690338,115.390022,109.121933,112.258247,354.261830666667,112.256734,233.259282333333,0.320183523978633,-1.64302902340385,9.52017622701806e-05,0.0119941500650642
"ARO8",696.609924,660.953125,696.070435,282.667542,300.927185,324.338715,684.544494666667,302.644480666667,493.594487666667,0.440266455373958,-1.18355116773549,0.000274794675038326,0.0177629585805182
"STR3",25.855867,30.790997,25.695801,9.107507,7.561681,8.090767,27.447555,8.25331833333333,17.8504366666667,0.324866770163447,-1.62207991346121,0.000966666224000656,0.0231070373132581
"ATG1",25.999634,23.8351,22.825109,8.754285,10.155386,11.08709,24.2199476666667,9.99892033333333,17.109434,0.430653583544628,-1.21540025865059,0.000698113031266212,0.0203630188593438
"ROK1",15.985946,9.922214,16.13966,27.477089,35.756229,26.202154,14.01594,29.811824,21.913882,2.11849449348477,1.08303937876905,0.019526083105651,0.0757423924300757
"SUT1",45.586166,39.229748,45.064854,20.976034,20.258162,20.179804,43.2935893333333,20.4713333333333,31.8824613333333,0.488438808223375,-1.03375026268836,0.00054820010484069,0.0191383947931329
"RCK1",30.902515,27.325565,33.061878,8.736142,7.484965,7.149348,30.429986,7.79015166666667,19.1100688333333,0.28320080499434,-1.82010272862008,9.76444873326265e-05,0.0119941500650642
"MET13",56.782223,56.31916,54.040077,29.083828,27.536581,24.49477,55.71382,27.038393,41.3761065,0.496751482694463,-1.00940382127702,0.000466906645180565,0.0190657484340748
"GPG1",31.114689,34.089352,39.06057,77.242233,73.012245,61.243492,34.7548703333333,70.4993233333333,52.6270968333333,2.02795077400131,1.02002263312719,0.00163315784968521,0.0277877731987015
"YGL117W",355.205139,377.816254,363.5784,67.882126,61.127201,71.566437,365.533264333333,66.858588,216.195926166667,0.183772906101791,-2.44400401114322,4.23705887133696e-05,0.0115548338277474
"PKP2",91.051414,96.074326,85.760681,28.914988,26.076412,29.490622,90.9621403333333,28.160674,59.5614071666667,0.315175657760981,-1.66577198072647,0.000128583581280761,0.0126565533407883
"NSR1",73.242477,55.892952,87.690308,271.485291,238.805695,155.900681,72.2752456666667,222.063889,147.169567333333,3.1367463476418,1.6492688706559,3.41131746697254e-05,0.0115548338277474
"YGR160W",23.371126,12.366461,28.849874,62.756584,51.159225,40.096142,21.5291536666667,51.337317,36.4332353333333,2.52079019307394,1.3338760467931,0.0129172460438898,0.0617292803189797
"RTS3",251.759186,259.722839,237.04689,90.670311,88.583939,108.492317,249.509638333333,95.9155223333333,172.712580333333,0.380831202302373,-1.39277640835615,5.07696514511213e-05,0.0115548338277474
"SDA1",17.988802,11.310256,19.846296,32.174129,42.25145,26.667971,16.3817846666667,33.69785,25.0398173333333,2.07215976423972,1.05113523960297,0.0206002816134085,0.0783651077800464
"SOL4",249.64949,275.186279,240.976059,125.345512,105.793396,133.997665,255.270609333333,121.712191,188.491400166667,0.472527179240427,-1.08153078094484,0.00175485283871846,0.0282676946267427
"ENO1",714.016785,871.091431,597.18811,1718.633301,1535.083008,1747.335327,727.432108666667,1667.017212,1197.22466033333,2.28262475325047,1.19069371058295,0.00460159183222975,0.0401137241184621
"EFG1",34.05455,35.30748,41.931507,153.917816,97.47924,54.129448,37.0978456666667,101.842168,69.4700068333333,2.62061227270011,1.38990391847704,0.00922895742465057,0.0523663901269004
"DUR3",87.854477,86.62999,120.799171,20.194571,19.643942,27.488008,98.4278793333333,22.4421736666667,60.4350265,0.234269094295062,-2.09376145416562,0.00321118283534894,0.0353062727489484
"ARG4",1669.62793,1725.140259,1671.312744,255.368698,243.829178,335.953491,1688.69364433333,278.383789,983.538716666667,0.161048147314874,-2.63443603072061,8.53297166694134e-05,0.0116598227748718
"YHR028W-A",8.079296,8.415164,6.96787,2.901557,3.371252,3.806883,7.82077666666667,3.35989733333333,5.590337,0.486938837835845,-1.03818752153722,0.000269694904086126,0.0177629585805182
"YHI9",287.171753,322.953766,305.260376,91.968117,79.824821,97.876579,305.128631666667,89.889839,197.509235333333,0.294013533549658,-1.76604553052095,0.00033640729570128,0.0183195393766169
"FSH1",67.629814,63.630306,66.869301,162.826996,159.362808,142.095367,66.0431403333333,154.761723666667,110.402432,2.33953609068923,1.22622248450364,1.48425623225368e-05,0.0104377643701181
"RUF5-2",218.052257408451,139.522341605634,280.592795098592,472.258511183099,403.990808429577,340.968055133803,212.722464704225,405.739124915493,309.230794809859,2.03231857823734,1.02312657101649,0.018290148236936,0.0730678018912995
"PCL5",889.608398,894.594604,865.449585,319.740967,309.388702,346.510132,883.217529,325.213267,604.215398,0.366457216990968,-1.44828331791387,2.17377445227429e-05,0.0104377643701181
"QDR3",172.214752,171.152328,205.333023,61.480797,58.283527,61.248306,182.900034333333,60.3375433333333,121.618788833333,0.33605377351581,-1.57323599111729,0.000502547853981516,0.0190657484340748
"RPF1",28.334419,23.438898,39.209656,67.710144,69.226532,45.821907,30.3276576666667,60.9195276666667,45.6235926666667,2.05640762076752,1.04012626364278,0.00371629670756279,0.0370912753589329
"HXT1",66.928307,66.002548,64.577332,218.34288,241.524658,169.68866,65.8360623333333,209.852066,137.844064166667,3.16710244121795,1.6631635326793,0.000856379374809313,0.0220277965214485
"GIP1",16.721512,18.08379,15.14009,5.610712,5.816911,5.694097,16.648464,5.70724,11.177852,0.379048850950101,-1.39954430326725,0.000279482627807193,0.0177629585805182
"FMP23",113.812386,126.158714,122.370255,24.269512,26.390516,40.481186,120.780451666667,30.3804046666667,75.5804281666667,0.245153535145345,-2.02824252926668,0.000522455236667718,0.0190680464851978
"ARO9",75.911324,79.983772,83.418427,37.047935,39.44297,35.153275,79.7711743333333,37.2147266666667,58.4929505,0.475164070065841,-1.07350234523351,0.000339298914028174,0.0183195393766169
"YHR139C-A",15.987492,19.334099,13.792165,8.447416,5.444101,8.858453,16.371252,7.58332333333333,11.9772876666667,0.48126185077346,-1.05510602828784,0.0188108719908426,0.0741864892584412
"YRO2",45.585613,48.326408,59.155273,163.217651,127.773376,118.385201,51.0224313333333,136.458742666667,93.740587,2.6818242985483,1.42321472124074,0.00170057051738359,0.0282246914676757
"ACO2",202.051956,198.555344,253.790314,68.002533,70.243225,71.084747,218.132538,69.776835,143.9546865,0.326537490248249,-1.61467945567244,0.00104644043563729,0.0232480356343619
"CGR1",66.861649,63.339924,80.854027,185.480011,171.60733,102.76297,70.3518666666667,153.283437,111.817651833333,2.1847946998201,1.1274977193291,0.000933691195334152,0.0228174810390798
"TRP5",345.088837,339.089172,347.645844,137.76593,147.534378,169.371506,343.941284333333,151.557271333333,247.749277833333,0.436672127144581,-1.19537764829777,0.000322256066907056,0.0183195393766169
"GSC2",30.12755,22.657688,22.679466,53.743145,60.248959,51.999359,25.1549013333333,55.3304876666667,40.2426945,2.17772609065499,1.12282250662402,0.00648675635245211,0.0447630401848375
"NQM1",57.924629,59.656883,70.907181,183.723709,135.387833,99.307022,62.8295643333333,139.472854666667,101.1512095,2.21224576939701,1.1455116706513,0.00364011490526694,0.0370015848548718
"BAP2",311.253479,333.55191,308.122955,148.84317,145.696289,142.88652,317.642781333333,145.808659666667,231.7257205,0.460716311059899,-1.11804941930542,0.000150100315342794,0.013132851047338
"VHT1",114.598793,122.345932,118.993637,53.25988,56.707878,57.195168,118.646120666667,55.7209753333333,87.183548,0.472263824338703,-1.08233506637752,8.2160168161538e-05,0.0116598227748718
"CTT1",304.469757,325.719513,293.161163,162.589462,134.772232,146.626038,307.783477666667,147.995910666667,227.889694166667,0.481320289767788,-1.05493085435958,0.00202381684455655,0.0296338635896121
"NOP7",57.184013,39.171604,65.378601,112.398216,138.627029,90.427765,53.911406,113.81767,83.864538,2.1680735060477,1.11641367044307,0.010929656730597,0.0574338287772891
"CLD1",55.398891,59.411446,57.271336,23.236467,22.940702,22.846252,57.3605576666667,23.007807,40.1841823333333,0.411308051938295,-1.28170877997165,4.0708384291932e-05,0.0115548338277474
"MEP1",194.848648,189.297012,217.014893,85.603828,92.512627,105.897644,200.386851,94.6713663333333,147.529108666667,0.471115873864191,-1.08584615163269,0.00228949048867189,0.0309649219336215
"ENP2",16.873526,11.137736,18.286388,33.202152,39.790241,27.403761,15.43255,33.4653846666667,24.4489673333333,2.17220200157386,1.11915827124448,0.00936945700399594,0.0527940026099227
"tE(UUC)J",7.221738,5.497406,5.523664,4.037599,1.38729,1.406294,6.080936,2.277061,4.1789985,0.448789880739923,-1.15588794828762,0.0479248645817212,0.128022433204168
"YJL133C-A",118.518639,102.285324,97.37204,39.163143,41.752663,25.134125,106.058667666667,35.349977,70.7043223333333,0.340850715414971,-1.55278808375398,0.00380470843490788,0.0372466183325782
"ALB1",75.388969,45.176785,83.981796,142.01796,158.510712,113.348747,68.1825166666667,137.959139666667,103.070828166667,2.12289916098988,1.08603584397294,0.0164704670977843,0.0693824616555465
"SIP4",8.170648,7.329726,7.407833,2.742259,2.43035,3.149841,7.636069,2.77415,5.2051095,0.43335986795816,-1.20636253854518,0.000888579138476286,0.0220277965214485
"ARG3",96.595619,86.8349,108.192123,9.254459,12.806139,7.990665,97.2075473333333,10.0170876666667,53.6123175,0.112790807200441,-3.14827860646612,0.000392229315156367,0.0185690151924653
"ARG2",45.337376,48.859756,46.587681,21.592627,20.71562,21.955662,46.928271,21.421303,34.174787,0.466511015492707,-1.1000169477673,8.3932720441604e-05,0.0116598227748718
"snR3",5.652795,3.697277,6.467129,15.419291,14.266975,23.025394,5.27240033333333,17.5705533333333,11.4214768333333,2.9319455920195,1.55185833169411,0.0172957090335621,0.0711592766701942
"EFM3",3.282268,2.063583,4.298321,10.253599,12.733464,8.881058,3.214724,10.622707,6.9187155,2.87404839144972,1.52308435320679,0.0057092521491855,0.0431967478517015
"STR2",90.711472,104.382599,100.956566,46.356495,39.767136,46.445381,98.6835456666667,44.1896706666667,71.4366081666667,0.451259009144044,-1.14797235996746,0.00160337984120251,0.0277877731987015
"URA1",70.197868,54.72974,72.33075,140.238846,180.948792,118.680603,65.752786,146.622747,106.1877665,2.24120152826479,1.16427238144804,0.00640261404923059,0.044647771963535
"TRP3",249.267776,240.828873,256.755402,112.742859,112.541573,116.514359,248.950683666667,113.932930333333,181.441807,0.459943770428827,-1.12047059693945,7.32992104783836e-05,0.0116598227748718
"LTV1",21.439537,14.917058,26.968437,43.950539,52.727531,30.747969,21.108344,42.4753463333333,31.7918451666667,2.04802194882107,1.03423117690316,0.0113524935478345,0.0585128158352751
"YMC2",94.575172,93.870415,110.583092,53.277458,45.668804,40.306469,99.6762263333333,46.417577,73.0469016666667,0.477183071775721,-1.06738523102104,0.000545006569673268,0.0191383947931329
"UTP11",34.850349,29.308615,44.289314,90.967941,80.084373,49.878494,36.149426,73.6436026666667,54.8965143333333,2.05773611898897,1.04105798503308,0.000118760155153663,0.0123772532290296
"DHR2",2.764716,1.621978,3.344699,8.441152,9.905883,6.914038,2.577131,8.42035766666667,5.49874433333333,2.73970986061505,1.45402311770576,0.00426921761383081,0.0391512999908829
"LYS2",184.408829,172.379669,187.740707,45.111183,48.508381,51.537235,181.509735,48.3855996666667,114.947667333333,0.269490268886147,-1.89169491572466,0.00011490403470038,0.0123772532290296
"MRT4",92.33931,72.919769,96.690689,209.769821,205.092804,145.425766,87.3165893333333,186.762797,137.039693166667,2.17153584908536,1.11871576990936,0.000254683509823272,0.0175237090691023
"GAP1",929.505615,962.309021,1296.769653,248.788086,196.519104,290.759888,1062.86142966667,245.355692666667,654.108561166667,0.230333214319183,-2.11820563044145,0.00372639876612957,0.0370912753589329
"DAL80",12.324782,13.508959,23.639294,3.97261,2.84524,2.259065,16.4910116666667,3.02563833333333,9.758325,0.243343571601811,-2.03893343138944,0.00420708258514912,0.0388566353833763
"MRS4",140.475708,156.435532,134.932434,63.409035,62.335896,76.440353,143.947891333333,67.3950946666667,105.671493,0.46407448337158,-1.10757172020907,7.06144022913913e-05,0.0116598227748718
"PTR2",50.510185,53.317326,48.47876,21.855238,19.443209,23.607767,50.768757,21.6354046666667,36.2020808333333,0.432659603109683,-1.20869567048537,0.000410799267695827,0.0185690151924653
"PCK1",32.036716,23.4198,38.075439,13.73635,12.864739,8.857098,31.1773183333333,11.8193956666667,21.498357,0.413576427945484,-1.27377413422308,0.000819728775785733,0.0216769322163936
"YJL047C-A",15.9604907631579,14.5208047315789,19.4191112368421,6.28089438947368,5.91355259473684,10.4636754894737,16.6334689105263,7.55270749122807,12.0930882008772,0.467080182957977,-1.09825785838711,0.0241795806579836,0.0851951695277424
"HCA4",16.774963,10.977411,19.265625,34.75481,42.571472,26.561659,15.6726663333333,34.6293136666667,25.15099,2.2217001044663,1.15166408810458,0.0100842902657425,0.055032141409118
"TDH2",1244.147217,1303.008911,1014.610657,3220.681152,3119.742676,3175.838623,1187.255595,3172.08748366667,2179.67153933333,2.66794660642116,1.41572979417534,0.00118150982121734,0.0247732547425068
"ILV3",479.365173,408.065186,442.245483,205.523956,233.371674,219.606827,443.225280666667,219.500819,331.363049833333,0.497365601592998,-1.00762136241752,0.00197686037696032,0.0291875197739954
"MAK5",12.064497,7.380436,12.651847,23.10881,27.30559,19.382994,10.6989266666667,23.265798,16.9823623333333,2.1587764515871,1.11021385527116,0.0121329993587505,0.0601605436413039
"ADH5",309.674286,331.466034,312.663025,87.773865,81.013809,94.678314,317.934448333333,87.821996,202.878222166667,0.276123494697753,-1.85661444621584,5.69296090627835e-05,0.0116598227748718
"CPA2",487.199158,445.335358,458.772308,67.308006,72.235626,89.47908,463.768941333333,76.340904,270.054922666667,0.163219252248041,-2.61511685691235,0.000113341308132009,0.0123772532290296
"YJR111C",91.098915,79.516861,90.720047,40.915459,33.551281,36.581261,87.111941,37.0160003333333,62.0639706666667,0.433796298587341,-1.20491035177222,0.00138506309719855,0.0263869413167906
"RTC2",189.147629,257.711456,246.751343,36.050369,25.180458,35.164051,231.203476,32.131626,131.667551,0.141333883904317,-2.82282071074117,0.0013296297806189,0.0258477274451615
"YJR115W",34.815529,33.632294,26.820316,10.049546,14.048619,16.261017,31.7560463333333,13.4530606666667,22.6045535,0.425932777635934,-1.23130233820118,0.00323799984666229,0.035312134021697
"MHT1",10.005866,9.469588,11.184656,21.888744,25.061049,19.303907,10.2200366666667,22.0845666666667,16.1523016666667,2.07702848385439,1.05452100108083,0.00127604732628028,0.0256913278447397
"YSW1",19.691599,20.017345,21.11293,4.494029,4.609764,5.063684,20.273958,4.72249233333333,12.4982251666667,0.26788478500082,-1.90031545184524,4.37243014734801e-05,0.0115548338277474
"TPO1",67.814812,87.392471,74.511459,34.781929,31.201279,39.543716,76.572914,35.1756413333333,55.8742776666667,0.460587387430713,-1.11845318948891,0.00243001047698099,0.0317739561814839
"DRS1",26.465322,19.314365,30.951769,56.086372,61.214962,39.804897,25.577152,52.3687436666667,38.9729478333333,2.07678468068853,1.05435164651199,0.00362251474592801,0.0370015848548718
"AAT2",662.072632,670.942505,642.937439,305.773468,300.668152,328.895905,658.650858666667,311.779175,485.215016833333,0.471361137182958,-1.08509527882087,1.32826552230458e-05,0.0104377643701181
"SHM2",286.938477,153.450012,179.793732,463.460358,634.899109,472.319183,206.727407,523.55955,365.1434785,2.61740433157389,1.38813680634949,0.0275148014564326,0.091710609551995
"SAM1",165.961899,132.550354,152.231842,324.97998,356.411621,276.500244,150.248031666667,319.297281666667,234.772656666667,2.14591284781108,1.1015914849556,0.00188731253202823,0.0290709256806607
"TMA10",1789.511719,2135.435791,1539.490723,772.720581,689.092957,774.283508,1821.479411,745.365682,1283.4225465,0.407999113925224,-1.29336207586969,0.00265992251341984,0.0329560679241371
"snR61",5.685349,3.478585,7.241156,19.644415,12.00113,12.286101,5.46836333333333,14.643882,10.0561226666667,2.51919477222989,1.33296266874433,0.0140398333774265,0.0637695699124887
"TSR2",32.666924,26.205183,36.411137,82.662262,75.192909,57.929188,31.7610813333333,71.9281196666667,51.8446005,2.28080761225919,1.18954475943158,0.000127884353366858,0.0126565533407883
