"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","fc","log2FC","pval","qval"
"SUT2",53.399494,53.028801,47.748768,44.374405,42.161709,44.244621,51.3923543333333,43.5935783333333,47.4929663333333,0.849119369551157,-0.235960712187998,0.0270882669785824,0.0906823562008565
"RPA135",46.173012,27.165253,40.817425,60.131824,83.502289,54.471191,38.0518966666667,66.0351013333333,52.043499,1.76722981635065,0.821489664875507,0.0569521659796531,0.141770284614612
"tK(CUU)P",2.46156,2.933141,1.714303,2.177088,1.822017,1.232916,2.369668,1.744007,2.0568375,0.820567046339096,-0.285306877578422,0.328013259406008,0.474995907112868
"YPR010C-A",152.50029,184.32843,152.696472,283.486359,180.963425,145.503616,163.175064,203.3178,183.246432,1.22893094325675,0.297403849298746,0.367375508912838,0.514194319442552
"YPR011C",35.727406,39.364887,30.3736,38.521,47.984901,39.925354,35.1552976666667,42.1437516666667,38.6495246666667,1.18778093599475,0.248268782522275,0.216023069723222,0.352081708184417
"YPR012W",15.665427,16.607323,20.693077,18.965719,12.964834,12.989905,17.6552756666667,14.973486,16.3143808333333,0.865328209278238,-0.208680660301011,0.322140924015278,0.469468492660475
"CMR3",35.744003,33.001438,34.610519,34.807953,27.762604,31.957993,34.4519866666667,31.5095166666667,32.9807516666667,0.915965532023506,-0.126634784462916,0.338102862159272,0.486228689959975
"SUF16",0,0.551184,0,0.262874,0,0.460276,0.183728,0.24105,0.212389,1.03359289756096,0.0476680615523833,0.84110274878051,0.895567184586459
"YPR014C",14.783324,22.258993,18.017992,16.698267,15.408517,18.63208,18.3534363333333,16.9129546666667,17.6331955,0.922271353856132,-0.116736807068439,0.542011791017159,0.670373047633265
"YPR015C",12.63633,15.401907,14.768497,16.37364,12.650464,10.115526,14.2689113333333,13.0465433333333,13.6577273333333,0.924253108818692,-0.113640103816183,0.558382272923984,0.684172746924668
"TIF6",236.736465,210.641525,251.00177,294.319794,300.918152,272.659576,232.793253333333,289.299174,261.046213666667,1.25564661409495,0.328430493028628,0.00937390007747485,0.0527940026099227
"YPR016W-A",16.298964,15.966363,17.017458,15.671498,14.451406,15.341206,16.427595,15.1547033333333,15.7911491666667,0.92818385012418,-0.107517499241414,0.103238933865776,0.211033125027117
"DSS4",63.176941,67.902298,80.352135,67.357475,62.541832,70.670631,70.4771246666667,66.856646,68.6668853333333,0.953430117207065,-0.0688008965208732,0.636542694521516,0.746636556781527
"RLF2",31.521887,31.555941,32.432484,36.83712,38.644257,33.968769,31.8367706666667,36.483382,34.1600763333333,1.1465349904634,0.197280384397755,0.015208437125887,0.0663275039453301
"MCM4",36.347023,33.928577,34.520092,30.384991,35.407761,35.021561,34.9318973333333,33.604771,34.2683341666667,0.957175866413695,-0.0631440726914862,0.478726881595427,0.616077248931685
"ATP20",90.9767,107.64444,108.542679,129.603516,114.764053,103.973427,102.387939666667,116.113665333333,109.2508025,1.14248026463716,0.192169244183992,0.197180771759535,0.330672060922817
"YPR022C",20.100843,16.388527,17.981855,18.539391,20.481695,18.411861,18.157075,19.1443156666667,18.6506953333333,1.05881054709151,0.0824444710838698,0.469522356545296,0.607917479269301
"YCR016W",38.345871,28.495964,44.491806,66.589211,76.596809,59.692608,37.1112136666667,67.6262093333333,52.3687115,1.85766392254572,0.893489521563006,0.0125663483448147,0.0608843554765056
"EAF3",87.991829,95.019524,90.729675,98.406837,94.981522,106.154289,91.2470093333333,99.8475493333333,95.5472793333333,1.08604416902536,0.11908277822335,0.0561569900599413,0.140381597754595
"YME1",75.099045,77.805771,73.973862,68.342705,76.22084,77.716835,75.626226,74.09346,74.859843,0.972388799996378,-0.0403948184301588,0.406922854365787,0.552887704925293
"CCL1",51.4902,48.193947,49.665203,41.080971,45.739937,44.863182,49.7831166666667,43.8946966666667,46.8389066666667,0.881765812731236,-0.181532552112917,0.0570954193443305,0.141877712795677
"ATH1",29.434965,29.665918,26.469692,20.71982,18.703106,19.638172,28.523525,19.6870326666667,24.1052788333333,0.69975373215804,-0.515080818410305,0.00612030663269436,0.044124733576709
"YPR027C",19.97439,23.555529,21.905821,19.591112,21.564703,19.031948,21.8119133333333,20.0625876666667,20.9372505,0.924532531342968,-0.113204010540253,0.327956942257377,0.474995907112868
"tF(GAA)P2",0,0,0.094432,0,0.24459,0.077057,0.0314773333333333,0.107215666666667,0.0693465,1.07202932008008,0.100344364149853,0.455785729529312,0.596629749755123
