"gene.name","SRR975587.metastasized_cancer","SRR975588.metastasized_cancer","SRR975589.metastasized_cancer","SRR975591.metastasized_cancer","SRR975593.metastasized_cancer","SRR975598.metastasized_cancer","SRR975599.metastasized_cancer","SRR975601.metastasized_cancer","SRR975603.metastasized_cancer","SRR975604.metastasized_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","metastasized_cancer.average","normal_colon.average","metastasized_cancer.normal_colon.average","baseMean","log2FC","lfcSE","stat","pval","padj"
"TRNAU1AP",6.38245727550021,12.2233866182999,0,1.84429934452081,0,1.07878473574918,9.35735902304542,6.57614675629047,4.62393034311565,0,11.3457164046585,4.92547982903891,7.36496602117345,9.02336766307138,11.4462686506516,8.84092619244782,8.53211468664905,9.27190871304306,12.2398983819297,4.54857447161335,4.20863640965217,8.75392210142768,6.48127925553992,6.48127925553992,-1.11661145679234,0.583585791639438,-1.91336299270669,0.0557015985861175,0.144328377274322
"ASTN2",18.2355922157149,4.88935464731998,12.8430400432346,9.22149672260407,7.49198198132609,18.339340507736,7.01801926728407,7.67217121567222,17.7250663152767,16.577147187946,3.49098966297183,8.86586369227004,5.26069001512389,5.41402059784283,7.28398914132376,4.42046309622391,3.19954300749339,6.18127247536204,6.59071451334676,5.68571808951669,12.0013210104115,5.63932642914751,8.82032371977949,8.82032371977949,1.10729443550433,0.34938040549139,3.16930891973452,0.00152801893133093,0.0081760028835335
"SCAMP5",10.0295757186432,0,0,6.45504770582285,5.99358558506087,0,0,99.7382258037389,12.3304809149751,9.59729574038981,2.61824224722887,2.95528789742335,3.15641400907433,0,0,2.21023154811196,2.13302867166226,3.09063623768102,0,9.0971489432267,14.4144211468631,2.52609895544085,8.47026005115196,8.47026005115196,2.52190567215174,1.08055638223261,2.33389549459794,0.0196011947255442,0.063759385863471
"PPCDC",2404.36283364201,2.44467732365999,125.219640421537,1285.47664313101,246.486207185628,266.459829730046,72.519532428602,17997.8176475076,2338.16744350215,1085.36690009499,2.61824224722887,0,0,0,0,7.73581041839184,0,0,0,7.96000532532336,2582.43213549673,1.83140579909441,1292.13177064791,1292.13177064791,10.4754513254887,1.26362983107147,8.28996836566146,1.13278592001569e-16,1.16186974899387e-14
"EHMT2",414.859722907513,22.8169883541599,207.094020697157,356.871923164778,121.370108097483,149.951078269135,208.201238262761,594.045256984906,446.209278110661,268.724280730915,33.1644017982324,38.4187426665035,51.5547621482141,33.3864603533641,23.9331071786352,43.0995151881831,131.181263307229,48.4199677236693,28.2459193429147,18.1942978864534,279.014389557947,44.9598437593399,161.987116658643,161.987116658643,2.63458609983467,0.425438673362639,6.19263424975232,5.91669166354808e-10,2.25891771680543e-08
"UHRF1",2583.9834169668,627.467179739397,2192.1463973796,1520.62480955741,1723.90505390313,2445.60499594338,1223.47469226319,2141.63179363193,1597.56793354646,857.649246618472,473.029099332683,396.008578254728,729.131636096171,577.495530436568,338.185210132889,492.881635228966,1029.18633407704,570.737491891762,422.747259498956,926.77204859122,1691.40555195498,595.617482354099,1143.51151715454,1143.51151715454,1.50609141094542,0.264503728191597,5.6940271550897,1.24077337179227e-08,3.40448719115868e-07
"C17orf97",0,9.77870929463996,12.8430400432346,6.45504770582285,2.99679279253044,0,0,6.57614675629047,6.16524045748754,6.1073700166117,11.3457164046585,10.8360556238856,18.938484054446,10.8280411956857,15.6085481599795,20.9971997070636,6.39908601498679,26.7855140599022,7.53224515811058,13.64572341484,5.09223470666175,14.2916613793558,9.69194804300879,9.69194804300879,-1.42638127051393,0.484010029392959,-2.94700767317339,0.00320865241342894,0.0150188408058489
"CALML3-AS1",9.11779610785744,4.88935464731998,2.40807000810648,0,3.74599099066304,0,9.35735902304542,3.28807337814524,0,0,7.85472674168662,4.92547982903891,10.5213800302478,2.70701029892141,10.4056987733197,18.7869681589516,17.0642293732981,5.15106039613503,4.70765322381911,10.23429256113,3.28066441551376,9.23584993865483,6.25825717708429,6.25825717708429,-1.57221250942266,0.638101430156593,-2.46389121716407,0.0137437816948666,0.0482559199851033
"GRB10",6.38245727550021,4.88935464731998,13.6457300459367,2.76644901678122,5.24438738692826,9.70906262174258,11.6966987788068,10.9602445938175,6.93589551467348,0,2.61824224722887,0,4.20855201209911,2.70701029892141,0,3.31534732216793,3.19954300749339,3.09063623768102,2.82459193429147,1.13714361790334,7.22302798815067,2.31010666777866,4.76656732796466,4.76656732796466,1.61499137379232,0.567886696414608,2.84386196047324,0.00445703528741558,0.0195554220121933
"MAP3K7",3.64711844314297,0,5.61883001891512,0,2.99679279253044,12.9454168289901,0,3.28807337814524,0,0,0,0,0,0,0,0,0,3.09063623768102,0,0,2.84962314617239,0.309063623768102,1.57934338497024,1.57934338497024,3.07808508975143,1.71100626926546,1.79899112296816,0.0720200849336469,0.175563815456
"SETD4",0,0,0,0,0,0,0,0,0,0,0,9.85095965807782,7.36496602117345,7.2186941304571,3.1217096319959,4.42046309622391,0,7.21148455458905,1.88306128952765,5.68571808951669,0,4.67570564715616,2.33785282357808,2.33785282357808,-4.70499683038594,1.10520735748505,-4.25711681932012,2.0708016395827e-05,0.000217665758350118
"OR52W1",1.82355922157149,0,2.40807000810648,1.84429934452081,2.99679279253044,0,0,3.28807337814524,3.08262022874377,0.872481430944529,4.36373707871479,5.91057579484669,1.05213800302478,5.41402059784283,2.08113975466393,6.63069464433587,10.6651433583113,3.09063623768102,2.82459193429147,2.27428723580667,1.63158964045628,4.43069646395194,3.03114305220411,3.03114305220411,-1.35769345568445,0.593947333026774,-2.28588189590077,0.0222611688524257,0.0705021415587415
"C3orf17",46.5007601500729,47.2637615907598,25.6860800864691,69.1612254195306,37.4599099066304,18.339340507736,32.750756580659,8.76819567505397,37.7620978021112,15.7046657570015,72.4380355066655,98.5095965807782,78.9103502268583,55.9448795110426,106.13812748786,127.088314016437,68.2569174931924,70.0544213874364,71.5563290020505,136.4572341484,33.9396793476024,88.5354205360722,61.2375499418373,61.2375499418373,-1.37662329828742,0.294210762169066,-4.67903787114473,2.88224207914749e-06,4.00523177525405e-05
"GSDMA",12505.0573619265,1058.54528114478,6977.78419348988,4285.22952699411,8682.45791815881,3476.92320331959,1831.70302876114,3473.30151178075,3704.53885989282,3203.75181442831,1212.24616046697,1206.74255811453,1236.26215355411,1224.47099187879,1545.24626783797,1730.61130217166,3092.89157391028,1689.54780993229,1376.51780264471,3277.24790679742,4919.92926998967,1759.17845273087,3339.55386136027,3339.55386136027,1.48389660151293,0.357499250147837,4.15076843070102,3.31360892631543e-05,0.000323439765553153
"HECTD3",0,0,0,0,0,0,0,0,0,0,5.23648449445775,10.8360556238856,0,0,3.1217096319959,0,0,0,6.59071451334676,0,0,2.5784964263686,1.2892482131843,1.2892482131843,-3.85036057952067,2.23586463774963,-1.72209019925107,0.0850531802259731,0.198785563730964
"MS4A6A",27.3533883235723,12.2233866182999,20.8699400702562,35.9638372181559,40.4567026991609,8.6302778859934,0,7.67217121567222,18.4957213724626,16.577147187946,13.0912112361444,19.7019193161556,4.20855201209911,14.4373882609142,10.4056987733197,7.73581041839184,6.39908601498679,3.09063623768102,6.59071451334676,0,18.8242572591519,8.56610167830394,13.6951794687279,13.6951794687279,1.14791508142284,0.512115562891393,2.24151571364427,0.0249926888308759,0.0774377880857887
"TCN1",0,12.2233866182999,5.61883001891512,2.76644901678122,2.99679279253044,0,0,0,7.70655057185942,0,37.5281388769472,13.7913435213089,11.5735180332726,9.02336766307138,14.5679782826475,25.4176628032875,5.33257167915566,15.4531811884051,19.7721435400403,6.82286170742002,3.13120090183862,15.9282767295556,9.52973881569712,9.52973881569712,-2.27595166621254,0.66197725342135,-3.43811158835074,0.000585786247485449,0.00372193145003844
"C11orf30",12.7649145510004,5.70424708853998,0,10.1436463948645,5.24438738692826,4.3151389429967,23.3933975576136,14.2483179719627,6.16524045748754,4.36240715472264,1.74549483148592,2.95528789742335,0,2.70701029892141,4.16227950932786,5.52557887027989,4.26605734332453,7.21148455458905,2.82459193429147,3.41143085371001,8.63416975061163,3.48092160933535,6.05754567997349,6.05754567997349,1.25460689718582,0.548527210432,2.28722818727213,0.0221825075797449,0.0703067165436746
"AREG",0,0,1.60538000540432,0,7.49198198132609,0,7.01801926728407,0,0,2.61744429283359,4.36373707871479,5.91057579484669,14.7299320423469,14.4373882609142,3.1217096319959,6.63069464433587,0,13.3927570299511,1.88306128952765,3.41143085371001,1.87328255468481,6.78812866263431,4.33070560865956,4.33070560865956,-1.94934861421192,0.902942957790599,-2.15888345702563,0.0308592096002354,0.0912501991233595
"DSCAML1",60.1774543118591,103.49134003494,495.259731667233,62.7061777137077,619.586909855668,3028.14875324793,1546.30357855826,56.9932718878508,587.239153575688,367.314682427647,27.9279173037747,65.0163337433136,107.318076308527,80.3079722013353,46.8256444799384,40.8892836400712,462.867221750711,77.2659059420255,42.368879014372,61.4057553667802,692.722105328078,101.219298975085,396.970702151582,396.970702151582,2.77466017322499,0.654657156204938,4.23834085815201,2.25177714447016e-05,0.000233273281976434
